lncRNA.Canis_lupus_familiaris	lncRNA.Homo_sapiens	orthology_type.Canis_lupus_familiaris.Homo_sapiens	lncRNA.Mus_musculus	orthology_type.Canis_lupus_familiaris.Mus_musculus	nbTotalIndication	profilIndication
ENSCAFG00845014729	NA	NA	ENSMUSG00000117019	one_to_one	1	one_to_one:1
ENSCAFG00845014778	ENSG00000267666	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845014794	ENSG00000289242;ENSG00000253214	many_to_many	ENSMUSG00000120107	many_to_one	2	many_to_many:1;many_to_one:1
ENSCAFG00845014799	ENSG00000289242;ENSG00000253214	many_to_many	ENSMUSG00000120107	many_to_one	2	many_to_many:1;many_to_one:1
ENSCAFG00845014805	ENSG00000289242;ENSG00000253214	many_to_many	ENSMUSG00000120107	many_to_one	2	many_to_many:1;many_to_one:1
ENSCAFG00845014811	ENSG00000289242;ENSG00000253214	many_to_many	ENSMUSG00000120107	many_to_one	2	many_to_many:1;many_to_one:1
ENSCAFG00845014816	ENSG00000289242;ENSG00000253214	many_to_many	ENSMUSG00000120107	many_to_one	2	many_to_many:1;many_to_one:1
ENSCAFG00845014849	ENSG00000229891	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845014882	ENSG00000226968	one_to_one	ENSMUSG00000107047	one_to_one	2	one_to_one:2
ENSCAFG00845014895	ENSG00000289586	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845014930	ENSG00000254389	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845014957	NA	NA	ENSMUSG00000120072	one_to_one	1	one_to_one:1
ENSCAFG00845015067	ENSG00000285802	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015101	ENSG00000251023	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015108	ENSG00000284640	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015225	ENSG00000283973	one_to_one	ENSMUSG00000120599	one_to_one	2	one_to_one:2
ENSCAFG00845015227	ENSG00000242767;ENSG00000241560;ENSG00000288896;ENSG00000242880;ENSG00000242290;ENSG00000239946;ENSG00000241295	one_to_many	ENSMUSG00000116903;ENSMUSG00000055370;ENSMUSG00000085499;ENSMUSG00000075070	one_to_many	2	one_to_many:2
ENSCAFG00845015237	ENSG00000227533	one_to_one	ENSMUSG00000086683	one_to_one	2	one_to_one:2
ENSCAFG00845015243	ENSG00000259976	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015374	ENSG00000249087	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015379	ENSG00000226917	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015381	ENSG00000272106	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015385	ENSG00000259319	one_to_one	ENSMUSG00000113165	one_to_one	2	one_to_one:2
ENSCAFG00845015446	NA	NA	ENSMUSG00000109759	one_to_one	1	one_to_one:1
ENSCAFG00845015466	ENSG00000267466	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015499	NA	NA	ENSMUSG00000086804;ENSMUSG00000086732	one_to_many	1	one_to_many:1
ENSCAFG00845015526	ENSG00000289014	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015541	ENSG00000271755	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015643	ENSG00000243276	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015649	ENSG00000237187	one_to_one	ENSMUSG00000087143	one_to_one	2	one_to_one:2
ENSCAFG00845015727	ENSG00000229458;ENSG00000287358;ENSG00000225738;ENSG00000285739	one_to_many	ENSMUSG00000093556;ENSMUSG00000093383;ENSMUSG00000093528	one_to_many	2	one_to_many:2
ENSCAFG00845015730	NA	NA	ENSMUSG00000106738	one_to_one	1	one_to_one:1
ENSCAFG00845015747	ENSG00000289617	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015799	NA	NA	ENSMUSG00000086859;ENSMUSG00000085104	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845015826	NA	NA	ENSMUSG00000086859;ENSMUSG00000085104	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845015860	ENSG00000267521	one_to_one	ENSMUSG00000086902	one_to_one	2	one_to_one:2
ENSCAFG00845015974	ENSG00000289077	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015981	ENSG00000230140	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845015993	ENSG00000228488	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845016003	ENSG00000286737	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845016009	ENSG00000228488	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845016020	ENSG00000286737	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845016096	NA	NA	ENSMUSG00000038491	one_to_one	1	one_to_one:1
ENSCAFG00845016201	ENSG00000237259	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016216	NA	NA	ENSMUSG00000102357;ENSMUSG00000086921;ENSMUSG00000102517;ENSMUSG00000102136;ENSMUSG00000102816;ENSMUSG00000102494;ENSMUSG00000104284	many_to_many	1	many_to_many:1
ENSCAFG00845016219	ENSG00000249815	one_to_one	ENSMUSG00000104763;ENSMUSG00000106437	one_to_many	2	one_to_many:1;one_to_one:1
ENSCAFG00845016228	NA	NA	ENSMUSG00000102357;ENSMUSG00000086921;ENSMUSG00000102517;ENSMUSG00000102136;ENSMUSG00000102816;ENSMUSG00000102494;ENSMUSG00000104284	many_to_many	1	many_to_many:1
ENSCAFG00845016240	NA	NA	ENSMUSG00000098196	one_to_one	1	one_to_one:1
ENSCAFG00845016355	ENSG00000289294	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016414	ENSG00000268231	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016439	NA	NA	ENSMUSG00000093535	one_to_one	1	one_to_one:1
ENSCAFG00845016501	NA	NA	ENSMUSG00000110665;ENSMUSG00000110604	one_to_many	1	one_to_many:1
ENSCAFG00845016520	ENSG00000277152	one_to_one	ENSMUSG00000111058	one_to_one	2	one_to_one:2
ENSCAFG00845016539	ENSG00000275569	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016551	ENSG00000259483	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016554	ENSG00000286590	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016555	NA	NA	ENSMUSG00000091238	one_to_one	1	one_to_one:1
ENSCAFG00845016602	NA	NA	ENSMUSG00000120996	one_to_one	1	one_to_one:1
ENSCAFG00845016611	ENSG00000235772	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016710	ENSG00000246375	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016753	ENSG00000225092	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016779	ENSG00000287181;ENSG00000286978	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845016783	ENSG00000286803	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016803	ENSG00000271789	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016883	NA	NA	ENSMUSG00000098302	one_to_one	1	one_to_one:1
ENSCAFG00845016890	ENSG00000272094	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016895	ENSG00000285532;ENSG00000225446	many_to_many_strict	NA	NA	1	many_to_many_strict:1
ENSCAFG00845016905	ENSG00000285532;ENSG00000225446	many_to_many_strict	NA	NA	1	many_to_many_strict:1
ENSCAFG00845016906	ENSG00000273619	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016960	ENSG00000266905	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845016966	ENSG00000258803	one_to_one	ENSMUSG00000115756	one_to_one	2	one_to_one:2
ENSCAFG00845016970	ENSG00000233593	one_to_one	ENSMUSG00000097018	one_to_one	2	one_to_one:2
ENSCAFG00845017031	NA	NA	ENSMUSG00000020812	one_to_one	1	one_to_one:1
ENSCAFG00845017035	ENSG00000233633	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845017086	ENSG00000248550	one_to_one	ENSMUSG00000098682	one_to_one	2	one_to_one:2
ENSCAFG00845017101	ENSG00000280989;ENSG00000231754	many_to_many_strict	ENSMUSG00000086363	many_to_one	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845017123	ENSG00000280989;ENSG00000231754	many_to_many_strict	ENSMUSG00000086363	many_to_one	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845017130	ENSG00000283480	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845017150	ENSG00000267543	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845017200	ENSG00000233296	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845017236	ENSG00000237125	one_to_one	ENSMUSG00000100510	one_to_one	2	one_to_one:2
ENSCAFG00845017261	NA	NA	ENSMUSG00000087128;ENSMUSG00000085931	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845017267	ENSG00000272050	one_to_one	ENSMUSG00000056061	one_to_one	2	one_to_one:2
ENSCAFG00845017276	NA	NA	ENSMUSG00000087128;ENSMUSG00000085931	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845017277	ENSG00000289548	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845017290	ENSG00000260542;ENSG00000174403	many_to_many_strict	ENSMUSG00000084843	many_to_one	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845017300	ENSG00000260542;ENSG00000174403	many_to_many_strict	ENSMUSG00000084843	many_to_one	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845017322	ENSG00000289548	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845017328	ENSG00000266290	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845017339	ENSG00000286584	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845017341	ENSG00000240476	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845017360	ENSG00000240476	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845017364	ENSG00000286616	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845017394	ENSG00000289634;ENSG00000174407;ENSG00000229882;ENSG00000264490	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845017408	ENSG00000232121;ENSG00000273812	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845017427	ENSG00000232121;ENSG00000273812	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845017436	ENSG00000289634;ENSG00000174407;ENSG00000229882;ENSG00000264490	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845017452	ENSG00000232121;ENSG00000273812	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845017477	ENSG00000289634;ENSG00000174407;ENSG00000229882;ENSG00000264490	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845017480	ENSG00000254680	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845017486	NA	NA	ENSMUSG00000120245	one_to_one	1	one_to_one:1
ENSCAFG00845017601	ENSG00000228421	one_to_one	ENSMUSG00000108255;ENSMUSG00000108175	one_to_many	2	one_to_many:1;one_to_one:1
ENSCAFG00845017643	NA	NA	ENSMUSG00000097302	many_to_one	1	many_to_one:1
ENSCAFG00845017649	ENSG00000248719	one_to_one	ENSMUSG00000045238	one_to_one	2	one_to_one:2
ENSCAFG00845017653	ENSG00000224541;ENSG00000233783;ENSG00000273492	one_to_many	ENSMUSG00000115469;ENSMUSG00000114988;ENSMUSG00000115518	one_to_many	2	one_to_many:2
ENSCAFG00845017654	NA	NA	ENSMUSG00000097302	many_to_one	1	many_to_one:1
ENSCAFG00845017712	ENSG00000273115	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845017730	ENSG00000228705	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845017740	ENSG00000248174;ENSG00000250957;ENSG00000251213;ENSG00000289179	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845017753	ENSG00000248174;ENSG00000250957;ENSG00000251213;ENSG00000289179	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845017845	ENSG00000232006;ENSG00000228680;ENSG00000231638	one_to_many	ENSMUSG00000113654	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845017881	ENSG00000250555;ENSG00000245864;ENSG00000289008	many_to_many	ENSMUSG00000097265	many_to_one	2	many_to_many:1;many_to_one:1
ENSCAFG00845017914	ENSG00000250377;ENSG00000245526	one_to_many	ENSMUSG00000050334	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845017925	NA	NA	ENSMUSG00000110310	one_to_one	1	one_to_one:1
ENSCAFG00845017979	ENSG00000261222	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018009	NA	NA	ENSMUSG00000109604	many_to_one	1	many_to_one:1
ENSCAFG00845018016	ENSG00000250555;ENSG00000245864;ENSG00000289008	many_to_many	ENSMUSG00000097265	many_to_one	2	many_to_many:1;many_to_one:1
ENSCAFG00845018023	NA	NA	ENSMUSG00000109604	many_to_one	1	many_to_one:1
ENSCAFG00845018024	NA	NA	ENSMUSG00000120928	one_to_one	1	one_to_one:1
ENSCAFG00845018048	ENSG00000272320	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018049	ENSG00000259360;ENSG00000259221;ENSG00000259588	one_to_many	ENSMUSG00000086954;ENSMUSG00000085496	one_to_many	2	one_to_many:2
ENSCAFG00845018054	ENSG00000247828	one_to_one	ENSMUSG00000097292	one_to_one	2	one_to_one:2
ENSCAFG00845018059	NA	NA	ENSMUSG00000117994	one_to_one	1	one_to_one:1
ENSCAFG00845018073	ENSG00000261757	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018092	ENSG00000239205	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018105	ENSG00000224533;ENSG00000225393	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845018124	ENSG00000289256	one_to_one	ENSMUSG00000119997;ENSMUSG00000087014	one_to_many	2	one_to_many:1;one_to_one:1
ENSCAFG00845018143	ENSG00000227012	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845018158	NA	NA	ENSMUSG00000111183	many_to_one	1	many_to_one:1
ENSCAFG00845018173	NA	NA	ENSMUSG00000111183	many_to_one	1	many_to_one:1
ENSCAFG00845018186	ENSG00000285216	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018189	ENSG00000227012	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845018201	NA	NA	ENSMUSG00000103428	one_to_one	1	one_to_one:1
ENSCAFG00845018236	NA	NA	ENSMUSG00000117911	many_to_one	1	many_to_one:1
ENSCAFG00845018257	NA	NA	ENSMUSG00000117911	many_to_one	1	many_to_one:1
ENSCAFG00845018273	NA	NA	ENSMUSG00000117911	many_to_one	1	many_to_one:1
ENSCAFG00845018293	NA	NA	ENSMUSG00000117911	many_to_one	1	many_to_one:1
ENSCAFG00845018305	NA	NA	ENSMUSG00000117911	many_to_one	1	many_to_one:1
ENSCAFG00845018340	ENSG00000288904;ENSG00000230648	one_to_many	ENSMUSG00000113170	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845018451	ENSG00000276900	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018453	ENSG00000226520	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018566	NA	NA	ENSMUSG00000114057	one_to_one	1	one_to_one:1
ENSCAFG00845018607	ENSG00000289403	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018643	ENSG00000249008;ENSG00000287544	many_to_many_strict	NA	NA	1	many_to_many_strict:1
ENSCAFG00845018648	ENSG00000286735	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018649	NA	NA	ENSMUSG00000087544	many_to_one	1	many_to_one:1
ENSCAFG00845018665	NA	NA	ENSMUSG00000087544	many_to_one	1	many_to_one:1
ENSCAFG00845018676	ENSG00000249008;ENSG00000287544	many_to_many_strict	NA	NA	1	many_to_many_strict:1
ENSCAFG00845018680	NA	NA	ENSMUSG00000120240	one_to_one	1	one_to_one:1
ENSCAFG00845018706	ENSG00000249458	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845018756	ENSG00000249458	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845018769	ENSG00000249458	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845018780	ENSG00000249458	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845018844	ENSG00000272183	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018871	ENSG00000280213	one_to_one	ENSMUSG00000010492	one_to_one	2	one_to_one:2
ENSCAFG00845018900	NA	NA	ENSMUSG00000113910	one_to_one	1	one_to_one:1
ENSCAFG00845018902	NA	NA	ENSMUSG00000111803	one_to_one	1	one_to_one:1
ENSCAFG00845018903	NA	NA	ENSMUSG00000117772	one_to_one	1	one_to_one:1
ENSCAFG00845018911	ENSG00000258658	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018914	ENSG00000223837	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845018927	NA	NA	ENSMUSG00000084828	one_to_one	1	one_to_one:1
ENSCAFG00845018950	ENSG00000249125	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019009	ENSG00000241648;ENSG00000239519	one_to_many	ENSMUSG00000092599;ENSMUSG00000045178	one_to_many	2	one_to_many:2
ENSCAFG00845019122	ENSG00000245552	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019136	ENSG00000228794;ENSG00000241180;ENSG00000272438;ENSG00000288531;ENSG00000230699	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845019142	ENSG00000229196	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019155	ENSG00000228794;ENSG00000241180;ENSG00000272438;ENSG00000288531;ENSG00000230699	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845019165	ENSG00000228794;ENSG00000241180;ENSG00000272438;ENSG00000288531;ENSG00000230699	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845019278	NA	NA	ENSMUSG00000120269	many_to_one	1	many_to_one:1
ENSCAFG00845019287	NA	NA	ENSMUSG00000106367	many_to_one	1	many_to_one:1
ENSCAFG00845019292	NA	NA	ENSMUSG00000110814	one_to_one	1	one_to_one:1
ENSCAFG00845019300	NA	NA	ENSMUSG00000120269	many_to_one	1	many_to_one:1
ENSCAFG00845019310	NA	NA	ENSMUSG00000106367	many_to_one	1	many_to_one:1
ENSCAFG00845019325	ENSG00000285605	many_to_one	ENSMUSG00000118315;ENSMUSG00000117674	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845019338	ENSG00000286985	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019344	ENSG00000232354	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019352	NA	NA	ENSMUSG00000114898	one_to_one	1	one_to_one:1
ENSCAFG00845019366	ENSG00000285605	many_to_one	ENSMUSG00000118315;ENSMUSG00000117674	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845019467	ENSG00000267734	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019577	NA	NA	ENSMUSG00000113030	one_to_one	1	one_to_one:1
ENSCAFG00845019631	NA	NA	ENSMUSG00000121212	many_to_one	1	many_to_one:1
ENSCAFG00845019632	ENSG00000278158	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019635	ENSG00000244036	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019637	NA	NA	ENSMUSG00000115970	one_to_one	1	one_to_one:1
ENSCAFG00845019682	ENSG00000206417	one_to_one	ENSMUSG00000084950	one_to_one	2	one_to_one:2
ENSCAFG00845019690	ENSG00000286965	one_to_one	ENSMUSG00000100354	one_to_one	2	one_to_one:2
ENSCAFG00845019713	ENSG00000236572	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845019722	ENSG00000236572	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845019732	ENSG00000236572	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845019771	NA	NA	ENSMUSG00000121050	one_to_one	1	one_to_one:1
ENSCAFG00845019779	NA	NA	ENSMUSG00000121212	many_to_one	1	many_to_one:1
ENSCAFG00845019808	ENSG00000228950	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019893	NA	NA	ENSMUSG00000116769	many_to_one	1	many_to_one:1
ENSCAFG00845019904	NA	NA	ENSMUSG00000116769	many_to_one	1	many_to_one:1
ENSCAFG00845019915	NA	NA	ENSMUSG00000116769	many_to_one	1	many_to_one:1
ENSCAFG00845019932	NA	NA	ENSMUSG00000116769	many_to_one	1	many_to_one:1
ENSCAFG00845019942	NA	NA	ENSMUSG00000116769	many_to_one	1	many_to_one:1
ENSCAFG00845019958	NA	NA	ENSMUSG00000116769	many_to_one	1	many_to_one:1
ENSCAFG00845019973	ENSG00000261101	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019981	ENSG00000227528;ENSG00000223815	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845019994	ENSG00000289605	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019997	ENSG00000227336	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845019998	ENSG00000289885	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020033	ENSG00000196096	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020052	ENSG00000235886	one_to_one	ENSMUSG00000111146	one_to_one	2	one_to_one:2
ENSCAFG00845020062	NA	NA	ENSMUSG00000111192	one_to_one	1	one_to_one:1
ENSCAFG00845020194	ENSG00000290079	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020205	ENSG00000259488	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020254	ENSG00000282012	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020262	ENSG00000222000	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020310	ENSG00000258323	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020376	ENSG00000265148	one_to_one	ENSMUSG00000120559	one_to_one	2	one_to_one:2
ENSCAFG00845020409	ENSG00000228639;ENSG00000234899	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845020422	ENSG00000230923	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020426	ENSG00000235848	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020427	ENSG00000228639;ENSG00000234899	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845020450	ENSG00000228639;ENSG00000234899	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845020477	ENSG00000232973	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020481	NA	NA	ENSMUSG00000120886	one_to_one	1	one_to_one:1
ENSCAFG00845020505	ENSG00000227292	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020529	NA	NA	ENSMUSG00000087199	one_to_one	1	one_to_one:1
ENSCAFG00845020547	NA	NA	ENSMUSG00000116480	one_to_one	1	one_to_one:1
ENSCAFG00845020563	ENSG00000273006	one_to_one	ENSMUSG00000117426;ENSMUSG00000117616	one_to_many	2	one_to_many:1;one_to_one:1
ENSCAFG00845020577	ENSG00000287449	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020598	NA	NA	ENSMUSG00000108421	one_to_one	1	one_to_one:1
ENSCAFG00845020623	ENSG00000257456	one_to_one	ENSMUSG00000108148	one_to_one	2	one_to_one:2
ENSCAFG00845020629	ENSG00000237234	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020639	ENSG00000270661;ENSG00000271208	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845020642	ENSG00000254566;ENSG00000255060	one_to_many	ENSMUSG00000087465	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845020648	NA	NA	ENSMUSG00000101242	one_to_one	1	one_to_one:1
ENSCAFG00845020663	NA	NA	ENSMUSG00000111629	one_to_one	1	one_to_one:1
ENSCAFG00845020719	ENSG00000289857	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020737	ENSG00000228709	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020760	ENSG00000257322	one_to_one	ENSMUSG00000112400;ENSMUSG00000112599	one_to_many	2	one_to_many:1;one_to_one:1
ENSCAFG00845020833	ENSG00000233656	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845020891	NA	NA	ENSMUSG00000084984	one_to_one	1	one_to_one:1
ENSCAFG00845021034	NA	NA	ENSMUSG00000073236	one_to_one	1	one_to_one:1
ENSCAFG00845021070	ENSG00000260288;ENSG00000291009	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845021091	ENSG00000225102	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845021114	ENSG00000259281;ENSG00000259213;ENSG00000259666	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845021140	ENSG00000259281;ENSG00000259213;ENSG00000259666	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845021146	NA	NA	ENSMUSG00000085416	one_to_one	1	one_to_one:1
ENSCAFG00845021189	NA	NA	ENSMUSG00000120672	one_to_one	1	one_to_one:1
ENSCAFG00845021227	ENSG00000289572;ENSG00000227927	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845021260	ENSG00000261472	many_to_one	ENSMUSG00000110592	many_to_one	2	many_to_one:2
ENSCAFG00845021337	ENSG00000261472	many_to_one	ENSMUSG00000110592	many_to_one	2	many_to_one:2
ENSCAFG00845021356	ENSG00000261472	many_to_one	ENSMUSG00000110592	many_to_one	2	many_to_one:2
ENSCAFG00845021365	ENSG00000261472	many_to_one	ENSMUSG00000110592	many_to_one	2	many_to_one:2
ENSCAFG00845021384	NA	NA	ENSMUSG00000114695	one_to_one	1	one_to_one:1
ENSCAFG00845021391	ENSG00000261472	many_to_one	ENSMUSG00000110592	many_to_one	2	many_to_one:2
ENSCAFG00845021449	ENSG00000271382	one_to_one	ENSMUSG00000112481;ENSMUSG00000112501	one_to_many	2	one_to_many:1;one_to_one:1
ENSCAFG00845021699	ENSG00000290022	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845021848	ENSG00000183250	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845021889	NA	NA	ENSMUSG00000086227	one_to_one	1	one_to_one:1
ENSCAFG00845021899	ENSG00000289971	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845021917	NA	NA	ENSMUSG00000052724	one_to_one	1	one_to_one:1
ENSCAFG00845021920	ENSG00000234880;ENSG00000261706;ENSG00000275874	one_to_many	ENSMUSG00000112818	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845021938	ENSG00000235499	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845021968	NA	NA	ENSMUSG00000101608	many_to_one	1	many_to_one:1
ENSCAFG00845021980	NA	NA	ENSMUSG00000101608	many_to_one	1	many_to_one:1
ENSCAFG00845021997	NA	NA	ENSMUSG00000120517	one_to_one	1	one_to_one:1
ENSCAFG00845022067	NA	NA	ENSMUSG00000085639;ENSMUSG00000106951;ENSMUSG00000108207;ENSMUSG00000085971;ENSMUSG00000106892;ENSMUSG00000085237	one_to_many	1	one_to_many:1
ENSCAFG00845022083	NA	NA	ENSMUSG00000113265	one_to_one	1	one_to_one:1
ENSCAFG00845022124	ENSG00000261829	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845022149	NA	NA	ENSMUSG00000086889	one_to_one	1	one_to_one:1
ENSCAFG00845022152	ENSG00000246339	one_to_one	NA	NA	1	one_to_one:1
