PCG.Homo_sapiens	conf.Homo_sapiens	PCG.Mus_musculus	conf.Mus_musculus	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	lncRNA.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	orthology_type.Homo_sapiens-Mus_musculus
ENSG00000134852	lncgDivg	ENSMUSG00000029238	lncgDivg	ENSG00000272969	1.1.1	203	ENSMUSG00000098449	1.1.1	84	one_to_one
ENSG00000128059	lncgDivg	ENSMUSG00000029246	lncgDivg	ENSG00000290817;ENSG00000270147	1.1.1;1.1.1	0;0	ENSMUSG00000121495	n.1.1	0	many_to_one
ENSG00000018189	lncgDivg	ENSMUSG00000029291	lncgDivg	ENSG00000272986	1.1.1	0	ENSMUSG00000120316	1.1.1	141	one_to_one
ENSG00000111445	lncgDivg	ENSMUSG00000029363	lncgDivg	ENSG00000277873	1.1.1	0	ENSMUSG00000086075	n.1.1	168	one_to_one
ENSG00000090975	lncgDivg	ENSMUSG00000029406	lncgDivg	ENSG00000251497	n.1.1	0	ENSMUSG00000090220;ENSMUSG00000105759;ENSMUSG00000089842	1.1.1;1.1.1;n.1.1	0;0;0	one_to_many
ENSG00000198301	lncgDivg	ENSMUSG00000029415	lncgDivg	ENSG00000245928	1.1.1	0	ENSMUSG00000106698	1.1.1	0	one_to_one
ENSG00000060709	lncgDivg	ENSMUSG00000029420	lncgDivg	ENSG00000256343	n.1.1	0	ENSMUSG00000105271	1.1.1	0	one_to_one
ENSG00000110987	lncgDivg	ENSMUSG00000029438	lncgDivg	ENSG00000255856	n.n.1	0	ENSMUSG00000087336	n.n.1	0	one_to_one
ENSG00000110801	lncgDivg	ENSMUSG00000029440	lncgDivg	ENSG00000287493	1.1.1	89	ENSMUSG00000104606	1.1.1	0	one_to_one
ENSG00000139725	lncgDivg	ENSMUSG00000029449	lncgDivg	ENSG00000274292;ENSG00000272849	1.1.1;1.1.1	0;0	ENSMUSG00000104156	n.1.1	1247	many_to_one
ENSG00000174437	lncgDivg	ENSMUSG00000029467	lncgDivg	ENSG00000289311	1.1.1	241	ENSMUSG00000120573	1.1.1	228	one_to_one
ENSG00000089094	lncgDivg	ENSMUSG00000029475	lncgDivg	ENSG00000256742	1.1.1	0	ENSMUSG00000056735	n.n.1	0	one_to_one
ENSG00000196498	lncgDivg	ENSMUSG00000029478	lncgDivg	ENSG00000214650	n.1.1	0	ENSMUSG00000105604;ENSMUSG00000106663	1.1.1;1.1.1	0;0	one_to_many
ENSG00000122966	lncgDivg	ENSMUSG00000029516	lncgDivg	ENSG00000255692	1.1.1	0	ENSMUSG00000120953	n.1.1	0	one_to_one
ENSG00000111737	lncgDivg	ENSMUSG00000029518	lncgDivg	ENSG00000277283	1.1.1	0	ENSMUSG00000107121	1.1.1	90	one_to_one
ENSG00000004866	lncgDivg	ENSMUSG00000029534	lncgDivg	ENSG00000226367;ENSG00000228368;ENSG00000227199;ENSG00000287829	n.n.1;1.1.1;1.1.1;1.1.1	0;0;0;0	ENSMUSG00000097700	1.1.1	0	many_to_one
ENSG00000002822	lncgDivg	ENSMUSG00000029554	lncgDivg	ENSG00000176349	n.1.1	0	ENSMUSG00000087248;ENSMUSG00000085673;ENSMUSG00000087606	n.1.1;1.1.1;1.1.1	0;0;0	one_to_many
ENSG00000135100	lncgDivg	ENSMUSG00000029556	lncgDivg	ENSG00000241388	n.n.1	0	ENSMUSG00000086140;ENSMUSG00000086054	1.1.1;n.1.1	0;0	one_to_many
ENSG00000122965	lncgDivg	ENSMUSG00000029594	lncgDivg	ENSG00000287229;ENSG00000257359	1.1.1;1.1.1	0;0	ENSMUSG00000097368	n.1.1	0	many_to_one
ENSG00000089116	lncgDivg	ENSMUSG00000029595	lncgDivg	ENSG00000257935	n.n.1	0	ENSMUSG00000098649	n.1.1	0	one_to_one
ENSG00000106415	lncgDivg	ENSMUSG00000029638	lncgDivg	ENSG00000233108	1.1.1	0	ENSMUSG00000087305	n.n.n	0	one_to_one
ENSG00000152484	lncgDivg	ENSMUSG00000029640	lncgDivg	ENSG00000230641;ENSG00000232162	1.1.1;1.1.1	448;0	ENSMUSG00000104845	1.1.1	912	many_to_one
ENSG00000139515	lncgDivg	ENSMUSG00000029644	lncgDivg	ENSG00000247381	1.1.1	2702	ENSMUSG00000092570	n.1.1	0	one_to_one
ENSG00000132938	lncgDivg	ENSMUSG00000029651	lncgDivg	ENSG00000179141;ENSG00000236758	n.n.1;n.1.1	0;0	ENSMUSG00000085565	1.1.1	154	many_to_one
ENSG00000158321	lncgDivg	ENSMUSG00000029673	lncgDivg	ENSG00000234215	n.1.1	803	ENSMUSG00000105773;ENSMUSG00000105809;ENSMUSG00000106395;ENSMUSG00000104987;ENSMUSG00000100420	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	0;2712;0;0;1091	one_to_many
ENSG00000049540	lncgDivg	ENSMUSG00000029675	lncgDivg	ENSG00000232415	1.1.1	0	ENSMUSG00000107318	1.1.1	0	one_to_one
ENSG00000128610	lncgDivg	ENSMUSG00000029697	lncgDivg	ENSG00000230316	n.n.1	0	ENSMUSG00000120116	1.1.1	413	one_to_one
ENSG00000257923	lncgDivg	ENSMUSG00000029705	lncgDivg	ENSG00000261535;ENSG00000259294	1.1.1;1.1.1	0;0	ENSMUSG00000086220	1.1.1	0	many_to_one
ENSG00000221866	lncgDivg	ENSMUSG00000029765	lncgDivg	ENSG00000183470;ENSG00000223436;ENSG00000225144	n.1.1;1.1.1;1.1.1	106;0;0	ENSMUSG00000086720;ENSMUSG00000086763;ENSMUSG00000086675	n.n.1;n.1.1;1.1.1	0;0;0	many_to_many_strict
ENSG00000105991	lncgDivg	ENSMUSG00000029844	lncgDivg	ENSG00000233429	n.n.n	0	ENSMUSG00000087658	n.n.1	0	one_to_one
ENSG00000159840	lncgDivg	ENSMUSG00000029860	lncgDivg	ENSG00000232533	n.1.1	259	ENSMUSG00000108033	1.1.1	0	one_to_one
ENSG00000075340	lncgDivg	ENSMUSG00000030000	lncgDivg	ENSG00000286979;ENSG00000235035	1.1.1;1.1.1	0;0	ENSMUSG00000107842	1.1.1	0	many_to_one
ENSG00000163638	lncgDivg	ENSMUSG00000030022	lncgDivg	ENSG00000241158;ENSG00000241684	n.n.1;n.1.1	0;0	ENSMUSG00000079462;ENSMUSG00000097462;ENSMUSG00000048636	1.1.1;n.1.1;n.n.1	0;0;0	many_to_many
ENSG00000163376	lncgDivg	ENSMUSG00000030031	lncgDivg	ENSG00000287873	1.1.1	287	ENSMUSG00000085413	1.1.1	0	one_to_one
ENSG00000114861	lncgDivg	ENSMUSG00000030067	lncgDivg	ENSG00000277855;ENSG00000274387;ENSG00000244203	1.1.1;1.1.1;1.1.1	0;0;0	ENSMUSG00000121205	1.1.1	0	many_to_one
ENSG00000163421	lncgDivg	ENSMUSG00000030069	lncgDivg	ENSG00000287131	1.1.1	222	ENSMUSG00000097548	1.1.1	0	one_to_one
ENSG00000144908	lncgDivg	ENSMUSG00000030088	lncgDivg	ENSG00000246022;ENSG00000250218	n.n.1;1.1.1	0;0	ENSMUSG00000089781	1.1.1	0	many_to_one
ENSG00000150995	lncgDivg	ENSMUSG00000030102	lncgDivg	ENSG00000231249;ENSG00000235947	n.1.1;1.1.1	144;0	ENSMUSG00000107458	1.1.1	0	many_to_one
ENSG00000134107	lncgDivg	ENSMUSG00000030103	lncgDivg	ENSG00000235831	n.n.n	0	ENSMUSG00000120764;ENSMUSG00000087341	1.1.1;n.n.1	1182;0	one_to_many
ENSG00000172765	lncgDivg	ENSMUSG00000030126	lncgDivg	ENSG00000271270	n.1.1	100	ENSMUSG00000121085;ENSMUSG00000092625	1.1.1;1.1.1	0;0	one_to_many
ENSG00000183785	lncgDivg	ENSMUSG00000030137	lncgDivg	ENSG00000280007	1.1.1	0	ENSMUSG00000086527	1.1.1	0	one_to_one
ENSG00000139112	lncgDivg	ENSMUSG00000030161	lncgDivg	ENSG00000255958	1.1.1	0	ENSMUSG00000097675	n.1.1	0	one_to_one
ENSG00000006831	lncgDivg	ENSMUSG00000030168	lncgDivg	ENSG00000285627	1.1.1	0	ENSMUSG00000121153	1.1.1	0	one_to_one
ENSG00000082805	lncgDivg	ENSMUSG00000030172	lncgDivg	ENSG00000249028	1.1.1	0	ENSMUSG00000108282	1.1.1	0	one_to_one
ENSG00000111266	lncgDivg	ENSMUSG00000030203	lncgDivg	ENSG00000290048;ENSG00000255670	1.1.1;1.1.1	0;0	ENSMUSG00000108196	1.1.1	0	many_to_one
ENSG00000273079	lncgDivg	ENSMUSG00000030209	lncgDivg	ENSG00000256306;ENSG00000287928;ENSG00000277935	n.n.1;1.1.1;1.1.1	0;0;0	ENSMUSG00000086614;ENSMUSG00000097496;ENSMUSG00000086239	1.1.1;1.1.1;1.1.1	0;0;0	many_to_many_strict
ENSG00000048540	lncgDivg	ENSMUSG00000030226	lncgDivg	ENSG00000256564	1.1.1	0	ENSMUSG00000107675;ENSMUSG00000100166;ENSMUSG00000089957	1.1.1;1.1.1;n.n.1	0;0;0	one_to_many
ENSG00000069431	lncgDivg	ENSMUSG00000030249	lncgDivg	ENSG00000257022	1.1.1	0	ENSMUSG00000104234	1.1.1	0	one_to_one
ENSG00000123096	lncgDivg	ENSMUSG00000030255	lncgDivg	ENSG00000286752;ENSG00000256894;ENSG00000278095	1.1.1;n.1.1;1.1.1	0;0;0	ENSMUSG00000085414	1.1.1	0	many_to_one
ENSG00000196220	lncgDivg	ENSMUSG00000030257	lncgDivg	ENSG00000228723;ENSG00000227929;ENSG00000235830;ENSG00000224808;ENSG00000287623	n.1.1;1.1.1;1.1.1;1.1.1;1.1.1	0;0;0;0;0	ENSMUSG00000108103	1.1.1	0	many_to_one
ENSG00000123094	lncgDivg	ENSMUSG00000030259	lncgDivg	ENSG00000246695	n.n.1	0	ENSMUSG00000085658	1.1.1	475	one_to_one
ENSG00000133703	lncgDivg	ENSMUSG00000030265	lncgDivg	ENSG00000274987;ENSG00000275197	1.1.1;1.1.1	0;0	ENSMUSG00000086013	1.1.1	290	many_to_one
ENSG00000060982	lncgDivg	ENSMUSG00000030268	lncgDivg	ENSG00000255921;ENSG00000256482	1.1.1;1.1.1	62;0	ENSMUSG00000097419;ENSMUSG00000086643	1.1.1;1.1.1	0;0	many_to_many_strict
ENSG00000139163	lncgDivg	ENSMUSG00000030275	lncgDivg	ENSG00000257023	1.1.1	60	ENSMUSG00000107802	1.1.1	0	one_to_one
ENSG00000123104	lncgDivg	ENSMUSG00000030287	lncgDivg	ENSG00000234428	1.1.1	0	ENSMUSG00000120618	1.1.1	0	one_to_one
ENSG00000123106	lncgDivg	ENSMUSG00000030301	lncgDivg	ENSG00000247934;ENSG00000278733	n.n.1;1.1.1	0;0	ENSMUSG00000072660	n.n.1	0	many_to_one
ENSG00000064763	lncgDivg	ENSMUSG00000030303	lncgDivg	ENSG00000257176;ENSG00000273680;ENSG00000275278;ENSG00000274315;ENSG00000275476;ENSG00000257258	n.n.1;1.1.1;1.1.1;1.1.1;1.1.1;n.n.1	0;0;0;0;0;0	ENSMUSG00000089948;ENSMUSG00000086777	1.1.1;1.1.1	0;0	many_to_many
ENSG00000133687	lncgDivg	ENSMUSG00000030306	lncgDivg	ENSG00000257456	1.1.1	0	ENSMUSG00000108148	1.1.1	0	one_to_one
ENSG00000111218	lncgDivg	ENSMUSG00000030350	lncgDivg	ENSG00000290204;ENSG00000287243;ENSG00000256691	1.1.1;n.n.1;1.1.1	0;0;0	ENSMUSG00000107219	1.1.1	0	many_to_one
ENSG00000167614	lncgDivg	ENSMUSG00000030428	lncgDivg	ENSG00000227407	1.1.1	0	ENSMUSG00000086155	n.1.1	0	one_to_one
ENSG00000104044	lncgDivg	ENSMUSG00000030450	lncgDivg	ENSG00000232394	1.1.1	0	ENSMUSG00000108773	1.1.1	0	one_to_one
ENSG00000156011	lncgDivg	ENSMUSG00000030465	lncgDivg	ENSG00000187229;ENSG00000253335	1.1.1;1.1.1	0;0	ENSMUSG00000087266	n.n.1	0	many_to_one
ENSG00000140479	lncgDivg	ENSMUSG00000030513	lncgDivg	ENSG00000259764;ENSG00000259172	1.1.1;1.1.1	0;0	ENSMUSG00000093405	1.1.1	0	many_to_one
ENSG00000104067	lncgDivg	ENSMUSG00000030516	lncgDivg	ENSG00000259523	1.1.1	0	ENSMUSG00000121090	1.1.1	0	one_to_one
ENSG00000140577	lncgDivg	ENSMUSG00000030527	lncgDivg	ENSG00000285560;ENSG00000259212;ENSG00000259314	1.1.1;1.1.1;1.1.1	0;0;0	ENSMUSG00000084821	1.1.1	0	many_to_one
ENSG00000140575	lncgDivg	ENSMUSG00000030536	lncgDivg	ENSG00000259177	1.1.1	0	ENSMUSG00000108321	n.1.1	0	one_to_one
ENSG00000012124	lncgDivg	ENSMUSG00000030577	lncgDivg	ENSG00000289845	1.1.1	213	ENSMUSG00000100029;ENSMUSG00000101029	1.1.1;1.1.1	4689;0	one_to_many
ENSG00000196218	lncgDivg	ENSMUSG00000030592	lncgDivg	ENSG00000268055;ENSG00000269445	1.1.1;1.1.1	0;0	ENSMUSG00000097079;ENSMUSG00000109017	n.1.1;1.1.1	0;0	many_to_many_strict
ENSG00000157766	lncgDivg	ENSMUSG00000030607	lncgDivg	ENSG00000259676	1.1.1	4702	ENSMUSG00000097441	1.1.1	160	one_to_one
ENSG00000074266	lncgDivg	ENSMUSG00000030619	lncgDivg	ENSG00000288809	1.1.1	0	ENSMUSG00000097585	n.n.n	0	one_to_one
ENSG00000137502	lncgDivg	ENSMUSG00000030643	lncgDivg	ENSG00000246067	n.1.1	129	ENSMUSG00000074024	n.1.1	130	one_to_one
ENSG00000157106	lncgDivg	ENSMUSG00000030655	lncgDivg	ENSG00000260352	1.1.1	455	ENSMUSG00000055159	n.1.1	195	one_to_one
ENSG00000079616	lncgDivg	ENSMUSG00000030677	lncgDivg	ENSG00000275857	1.1.1	0	ENSMUSG00000108617	1.1.1	0	one_to_one
ENSG00000176476	lncgDivg	ENSMUSG00000030714	lncgDivg	ENSG00000275441	1.1.1	0	ENSMUSG00000066175	n.1.1	0	one_to_one
ENSG00000137491	lncgDivg	ENSMUSG00000030737	lncgDivg	ENSG00000255395	1.1.1	0	ENSMUSG00000085095;ENSMUSG00000109559	n.1.1;1.1.1	0;0	one_to_many
ENSG00000105357	lncgDivg	ENSMUSG00000030739	lncgDivg	ENSG00000267815	1.1.1	0	ENSMUSG00000070574	n.n.1	0	one_to_one
ENSG00000077238	lncgDivg	ENSMUSG00000030748	lncgDivg	ENSG00000274092	1.1.1	0	ENSMUSG00000108524	1.1.1	0	one_to_one
ENSG00000099364	lncgDivg	ENSMUSG00000030811	lncgDivg	ENSG00000260852	1.1.1	0	ENSMUSG00000121230	1.1.1	0	one_to_one
ENSG00000099385	lncgDivg	ENSMUSG00000030814	lncgDivg	ENSG00000260083	n.n.1	0	ENSMUSG00000108801	n.1.1	0	one_to_one
ENSG00000105552	lncgDivg	ENSMUSG00000030826	lncgDivg	ENSG00000286024	1.1.1	0	ENSMUSG00000109644	n.1.1	0	one_to_one
ENSG00000110786	lncgDivg	ENSMUSG00000030854	lncgDivg	ENSG00000286998	1.1.1	0	ENSMUSG00000109501	1.1.1	0	one_to_one
ENSG00000121898	lncgDivg	ENSMUSG00000030862	lncgDivg	ENSG00000231138	1.1.1	0	ENSMUSG00000086814	1.1.1	0	one_to_one
ENSG00000175029	lncgDivg	ENSMUSG00000030970	lncgDivg	ENSG00000282787;ENSG00000273599	1.1.1;1.1.1	1209;0	ENSMUSG00000109816	1.1.1	3897	many_to_one
ENSG00000175018	lncgDivg	ENSMUSG00000030976	lncgDivg	ENSG00000228021	n.n.n	130	ENSMUSG00000110026	n.1.1	3335	one_to_one
ENSG00000166444	lncgDivg	ENSMUSG00000031024	lncgDivg	ENSG00000255159;ENSG00000254665	n.n.1;1.1.1	0;0	ENSMUSG00000109499	1.1.1	0	many_to_one
ENSG00000131620	lncgDivg	ENSMUSG00000031075	lncgDivg	ENSG00000254902;ENSG00000254605;ENSG00000254417;ENSG00000248844	1.1.1;n.1.1;n.1.1;n.1.1	0;0;0;0	ENSMUSG00000108851	n.1.1	0	many_to_one
ENSG00000181804	lncgDivg	ENSMUSG00000031129	lncgDivg	ENSG00000240012;ENSG00000244493	1.1.1;1.1.1	0;0	ENSMUSG00000089709;ENSMUSG00000101595	1.1.1;1.1.1	0;1091	many_to_many_strict
ENSG00000129682	lncgDivg	ENSMUSG00000031137	lncgDivg	ENSG00000232183;ENSG00000226031	1.1.1;n.n.1	0;0	ENSMUSG00000120929	1.1.1	0	many_to_one
ENSG00000102317	lncgDivg	ENSMUSG00000031167	lncgDivg	ENSG00000228343;ENSG00000204620	1.1.1;1.1.1	0;0	ENSMUSG00000055188	n.n.1	0	many_to_one
ENSG00000155966	lncgDivg	ENSMUSG00000031189	lncgDivg	ENSG00000237741	1.1.1	2	ENSMUSG00000086676	n.n.1	0	one_to_one
ENSG00000004961	lncgDivg	ENSMUSG00000031352	lncgDivg	ENSG00000234129	n.1.1	156	ENSMUSG00000087159	n.1.1	250	one_to_one
ENSG00000172534	lncgDivg	ENSMUSG00000031386	lncgDivg	ENSG00000235802	1.1.1	0	ENSMUSG00000120229	1.1.1	104	one_to_one
ENSG00000123562	lncgDivg	ENSMUSG00000031422	lncgDivg	ENSG00000231154	1.1.1	0	ENSMUSG00000087368	n.n.n	0	one_to_one
ENSG00000068650	lncgDivg	ENSMUSG00000031441	lncgDivg	ENSG00000232684;ENSG00000274922	1.1.1;n.1.1	0;179	ENSMUSG00000084780	n.1.1	0	many_to_one
ENSG00000126217	lncgDivg	ENSMUSG00000031442	lncgDivg	ENSG00000235280;ENSG00000267868	1.1.1;1.1.1	0;0	ENSMUSG00000079146;ENSMUSG00000086770	n.1.1;n.1.1	0;0	many_to_many_strict
ENSG00000134871	lncgDivg	ENSMUSG00000031503	lncgDivg	ENSG00000224821;ENSG00000232814	1.1.1;1.1.1	0;0	ENSMUSG00000084783	1.1.1	0	many_to_one
ENSG00000173273	lncgDivg	ENSMUSG00000031529	lncgDivg	ENSG00000272267	1.1.1	0	ENSMUSG00000054247	n.n.1	0	one_to_one
ENSG00000120875	lncgDivg	ENSMUSG00000031530	lncgDivg	ENSG00000285601	1.1.1	608	ENSMUSG00000120180	1.1.1	127	one_to_one
ENSG00000104365	lncgDivg	ENSMUSG00000031537	lncgDivg	ENSG00000253408	n.1.1	316	ENSMUSG00000085199	1.1.1	0	one_to_one
ENSG00000070718	lncgDivg	ENSMUSG00000031539	lncgDivg	ENSG00000261449	1.1.1	183	ENSMUSG00000054822	n.1.1	144	one_to_one
ENSG00000029534	lncgDivg	ENSMUSG00000031543	lncgDivg	ENSG00000253389;ENSG00000289514	n.n.1;n.1.1	0;0	ENSMUSG00000120972;ENSMUSG00000086741	1.1.1;1.1.1	0;0	many_to_many_strict
ENSG00000169499	lncgDivg	ENSMUSG00000031557	lncgDivg	ENSG00000253645	1.1.1	0	ENSMUSG00000110148	n.n.1	0	one_to_one
ENSG00000218336	lncgDivg	ENSMUSG00000031561	lncgDivg	ENSG00000177822;ENSG00000248816;ENSG00000248694	n.n.1;1.1.1;1.1.1	0;0;0	ENSMUSG00000100706	n.n.1	0	many_to_one
ENSG00000077782	lncgDivg	ENSMUSG00000031565	lncgDivg	ENSG00000255201	1.1.1	0	ENSMUSG00000086134	n.n.1	0	one_to_one
ENSG00000197265	lncgDivg	ENSMUSG00000031585	lncgDivg	ENSG00000253112	1.1.1	0	ENSMUSG00000049476	n.1.1	14	one_to_one
ENSG00000157110	lncgDivg	ENSMUSG00000031586	lncgDivg	ENSG00000254109	n.1.1	0	ENSMUSG00000097442	1.1.1	0	one_to_one
ENSG00000104763	lncgDivg	ENSMUSG00000031591	lncgDivg	ENSG00000245281	n.n.1	0	ENSMUSG00000120151	1.1.1	60	one_to_one
ENSG00000104760	lncgDivg	ENSMUSG00000031594	lncgDivg	ENSG00000254054;ENSG00000253215	n.1.1;1.1.1	0;0	ENSMUSG00000085445	n.1.1	2983	many_to_one
ENSG00000109586	lncgDivg	ENSMUSG00000031608	lncgDivg	ENSG00000290017;ENSG00000245213	1.1.1;n.n.1	0;0	ENSMUSG00000110419	n.n.1	0	many_to_one
ENSG00000164105	lncgDivg	ENSMUSG00000031609	lncgDivg	ENSG00000272870	n.n.1	0	ENSMUSG00000096917	n.n.n	0	one_to_one
ENSG00000151623	lncgDivg	ENSMUSG00000031618	lncgDivg	ENSG00000250354;ENSG00000287292	1.1.1;n.1.1	0;1005	ENSMUSG00000074235	n.1.1	0	many_to_one
ENSG00000154556	lncgDivg	ENSMUSG00000031626	lncgDivg	ENSG00000233110;ENSG00000235902;ENSG00000235149	1.1.1;1.1.1;1.1.1	0;0;0	ENSMUSG00000084954;ENSMUSG00000085440	n.1.1;1.1.1	0;0	many_to_many
ENSG00000168310	lncgDivg	ENSMUSG00000031627	lncgDivg	ENSG00000286292;ENSG00000271646	n.1.1;1.1.1	638;244	ENSMUSG00000110374;ENSMUSG00000097534;ENSMUSG00000109751	1.1.1;n.1.1;1.1.1	0;217;0	many_to_many
ENSG00000154447	lncgDivg	ENSMUSG00000031642	lncgDivg	ENSG00000251171	1.1.1	0	ENSMUSG00000099419	1.1.1	0	one_to_one
ENSG00000102921	lncgDivg	ENSMUSG00000031652	lncgDivg	ENSG00000260086;ENSG00000259912;ENSG00000261267;ENSG00000289119	n.1.1;1.1.1;1.1.1;1.1.1	3267;171;0;0	ENSMUSG00000098434	1.1.1	430	many_to_one
ENSG00000140807	lncgDivg	ENSMUSG00000031661	lncgDivg	ENSG00000260029;ENSG00000205414	1.1.1;1.1.1	0;0	ENSMUSG00000121158	1.1.1	233	many_to_one
ENSG00000103449	lncgDivg	ENSMUSG00000031665	lncgDivg	ENSG00000285367;ENSG00000261238	n.n.1;1.1.1	0;0	ENSMUSG00000120400	n.n.1	0	many_to_one
ENSG00000181938	lncgDivg	ENSMUSG00000031669	lncgDivg	ENSG00000276131;ENSG00000261078	1.1.1;1.1.1	0;0	ENSMUSG00000110483	1.1.1	3062	many_to_one
ENSG00000170365	lncgDivg	ENSMUSG00000031681	lncgDivg	ENSG00000250902;ENSG00000250582	1.1.1;1.1.1	0;0	ENSMUSG00000109945	1.1.1	4630	many_to_one
ENSG00000129636	lncgDivg	ENSMUSG00000031703	lncgDivg	ENSG00000260744;ENSG00000261369	1.1.1;1.1.1	0;0	ENSMUSG00000109754	n.n.1	0	many_to_one
ENSG00000132005	lncgDivg	ENSMUSG00000031706	lncgDivg	ENSG00000275091	1.1.1	0	ENSMUSG00000056753	1.1.1	0	one_to_one
ENSG00000109458	lncgDivg	ENSMUSG00000031714	lncgDivg	ENSG00000286771	1.1.1	0	ENSMUSG00000109587	1.1.1	0	one_to_one
ENSG00000177508	lncgDivg	ENSMUSG00000031734	lncgDivg	ENSG00000277559;ENSG00000283689	1.1.1;1.1.1	4178;0	ENSMUSG00000046413	n.n.1	0	many_to_one
ENSG00000176842	lncgDivg	ENSMUSG00000031737	lncgDivg	ENSG00000289307;ENSG00000245694	1.1.1;n.1.1	277;10249	ENSMUSG00000031736	n.1.1	1505	many_to_one
ENSG00000087258	lncgDivg	ENSMUSG00000031748	lncgDivg	ENSG00000261439;ENSG00000272372;ENSG00000246379;ENSG00000287866	1.1.1;1.1.1;n.n.n;1.1.1	0;0;1052;0	ENSMUSG00000097520	n.n.1	0	many_to_one
ENSG00000152910	lncgDivg	ENSMUSG00000031772	lncgDivg	ENSG00000286841	1.1.1	0	ENSMUSG00000098075	1.1.1	468	one_to_one
ENSG00000140859	lncgDivg	ENSMUSG00000031788	lncgDivg	ENSG00000276166;ENSG00000187185	1.1.1;n.n.1	0;0	ENSMUSG00000110428;ENSMUSG00000110517;ENSMUSG00000110475	1.1.1;1.1.1;1.1.1	0;0;0	many_to_many
ENSG00000130313	lncgDivg	ENSMUSG00000031807	lncgDivg	ENSG00000269439;ENSG00000269161	n.n.n;1.1.1	0;0	ENSMUSG00000120970	1.1.1	85	many_to_one
ENSG00000260456	lncgDivg	ENSMUSG00000031809	lncgDivg	ENSG00000261095;ENSG00000285527;ENSG00000261651	1.1.1;1.1.1;1.1.1	0;0;0	ENSMUSG00000098211;ENSMUSG00000097424	1.1.1;n.1.1	0;62	many_to_many
ENSG00000131149	lncgDivg	ENSMUSG00000031822	lncgDivg	ENSG00000287946;ENSG00000270124	1.1.1;1.1.1	0;0	ENSMUSG00000121159;ENSMUSG00000097960	1.1.1;1.1.1	0;226	many_to_many_strict
ENSG00000103196	lncgDivg	ENSMUSG00000031825	lncgDivg	ENSG00000285848	1.1.1	0	ENSMUSG00000089776	1.1.1	0	one_to_one
ENSG00000140945	lncgDivg	ENSMUSG00000031841	lncgDivg	ENSG00000286528;ENSG00000260788;ENSG00000261103;ENSG00000259914;ENSG00000261410;ENSG00000288554;ENSG00000260832	1.1.1;n.1.n;1.1.1;1.1.1;n.1.1;1.1.1;1.1.1	0;0;0;0;0;0;0	ENSMUSG00000110548;ENSMUSG00000110667	1.1.1;1.1.1	0;0	many_to_many
ENSG00000204843	lncgDivg	ENSMUSG00000031865	lncgDivg	ENSG00000237737	n.n.n	0	ENSMUSG00000085782	n.1.1	0	one_to_one
ENSG00000103056	lncgDivg	ENSMUSG00000031906	lncgDivg	ENSG00000287760;ENSG00000274698	1.1.1;1.1.1	335;1775	ENSMUSG00000074113	1.1.1	0	many_to_one
ENSG00000164532	lncgDivg	ENSMUSG00000031965	lncgDivg	ENSG00000289335	1.1.1	611	ENSMUSG00000111275	1.1.1	2164	one_to_one
ENSG00000154096	lncgDivg	ENSMUSG00000032011	lncgDivg	ENSG00000263873	1.1.1	0	ENSMUSG00000111229	1.1.1	2325	one_to_one
ENSG00000110400	lncgDivg	ENSMUSG00000032012	lncgDivg	ENSG00000255247;ENSG00000254854	1.1.1;1.1.1	0;383	ENSMUSG00000111334	n.n.1	0	many_to_one
ENSG00000149403	lncgDivg	ENSMUSG00000032017	lncgDivg	ENSG00000250493	1.1.1	0	ENSMUSG00000120815;ENSMUSG00000110749	n.1.1;1.1.1	0;2308	one_to_many
ENSG00000154127	lncgDivg	ENSMUSG00000032020	lncgDivg	ENSG00000286341	1.1.1	0	ENSMUSG00000110747	1.1.1	0	one_to_one
ENSG00000166250	lncgDivg	ENSMUSG00000032024	lncgDivg	ENSG00000254710	1.1.1	0	ENSMUSG00000087135;ENSMUSG00000111189;ENSMUSG00000086014	n.1.1;n.1.1;1.1.1	0;0;0	one_to_many
ENSG00000166266	lncgDivg	ENSMUSG00000032030	lncgDivg	ENSG00000288012	1.1.1	0	ENSMUSG00000086914	1.1.1	0	one_to_one
ENSG00000120457	lncgDivg	ENSMUSG00000032034	lncgDivg	ENSG00000174370	n.1.1	0	ENSMUSG00000111056	n.1.1	4332	one_to_one
ENSG00000134954	lncgDivg	ENSMUSG00000032035	lncgDivg	ENSG00000254588	1.1.1	0	ENSMUSG00000098843	1.1.1	0	one_to_one
ENSG00000149571	lncgDivg	ENSMUSG00000032036	lncgDivg	ENSG00000255317;ENSG00000257271;ENSG00000254607;ENSG00000254960;ENSG00000218109	1.1.1;1.1.1;n.1.1;n.1.1;1.1.1	0;0;0;0;0	ENSMUSG00000053889	1.1.1	0	many_to_one
ENSG00000150455	lncgDivg	ENSMUSG00000032041	lncgDivg	ENSG00000254905	1.1.1	0	ENSMUSG00000110774	1.1.1	0	one_to_one
ENSG00000182985	lncgDivg	ENSMUSG00000032076	lncgDivg	ENSG00000256315;ENSG00000255580;ENSG00000256972	n.1.1;1.1.1;1.1.1	0;0;0	ENSMUSG00000119966	1.1.1	77	many_to_one
