PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	PCG.Homo_sapiens	conf.Homo_sapiens	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	orthology_type.Canis_lupus_familiaris-Homo_sapiens
ENSCAFG00845000166	lncgConv	ENSG00000151468	lncgConv	ENSCAFG00845000176	1.1.1	1239	ENSG00000285520	1.1.1	0	one_to_one
ENSCAFG00845029867	lncgConv	ENSG00000151532	lncgConv	ENSCAFG00845029891	1.1.1	2062	ENSG00000285676	n.n.1	0	one_to_one
ENSCAFG00845000654	lncgConv	ENSG00000152475	lncgConv	ENSCAFG00845000661	1.1.1	630	ENSG00000269054	n.1.n	0	one_to_one
ENSCAFG00845025133	lncgConv	ENSG00000152518	lncgConv	ENSCAFG00845025110	1.1.1	179	ENSG00000287387	1.1.1	0	one_to_one
ENSCAFG00845023220	lncgConv	ENSG00000155657	lncgConv	ENSCAFG00845022594	1.1.1	1674	ENSG00000237298	n.n.1	0	one_to_one
ENSCAFG00845028583	lncgConv	ENSG00000157538	lncgConv	ENSCAFG00845028522	1.1.1	366	ENSG00000242553;ENSG00000230366	1.1.1;n.1.1	0;1684	one_to_many
ENSCAFG00845002735	lncgConv	ENSG00000158816	lncgConv	ENSCAFG00845002702	1.1.1	21	ENSG00000236963	n.1.1	1061	one_to_one
ENSCAFG00845013396	lncgConv	ENSG00000163637	lncgConv	ENSCAFG00845013442	1.1.1	583	ENSG00000241111	1.1.1	0	one_to_one
ENSCAFG00845017338	lncgConv	ENSG00000164070	lncgConv	ENSCAFG00845027088	1.1.1	2988	ENSG00000261668	1.1.1	0	one_to_one
ENSCAFG00845029625	lncgConv	ENSG00000164099	lncgConv	ENSCAFG00845029601	1.1.1	435	ENSG00000269893	n.n.1	0	one_to_one
ENSCAFG00845008553	lncgConv	ENSG00000164932	lncgConv	ENSCAFG00845008574	1.1.1	1750	ENSG00000266289	1.1.1	89	one_to_one
ENSCAFG00845029704	lncgConv	ENSG00000168427	lncgConv	ENSCAFG00845029719	1.1.1	1405	ENSG00000279484	n.n.1	0	one_to_one
ENSCAFG00845000708	lncgConv	ENSG00000169744	lncgConv	ENSCAFG00845000739	1.1.1	2369	ENSG00000248138	n.n.1	0	one_to_one
ENSCAFG00845027311	lncgConv	ENSG00000169836	lncgConv	ENSCAFG00845027288	1.1.1	1542	ENSG00000251577	n.1.1	0	one_to_one
ENSCAFG00845026988	lncgConv	ENSG00000170035	lncgConv	ENSCAFG00845027032	1.1.1	1119	ENSG00000238171	1.1.1	0	one_to_one
ENSCAFG00845013026	lncgConv	ENSG00000175356	lncgConv	ENSCAFG00845012799	1.1.1	846	ENSG00000253973	n.1.n	0	one_to_one
ENSCAFG00845006344	lncgConv	ENSG00000175497	lncgConv	ENSCAFG00845006107	1.1.1	3628	ENSG00000287451	1.1.1	0	one_to_one
ENSCAFG00845020761	lncgConv	ENSG00000175894	lncgConv	ENSCAFG00845020737	1.1.1	2068	ENSG00000228709	n.1.1	2374	one_to_one
ENSCAFG00845009934	lncgConv	ENSG00000180098	lncgConv	ENSCAFG00845009830	1.1.1	27	ENSG00000197989	n.n.1	0	one_to_one
ENSCAFG00845027975	lncgConv	ENSG00000182463	lncgConv	ENSCAFG00845028011	1.1.1	4454	ENSG00000259723	1.1.1	0	one_to_one
ENSCAFG00845006283	lncgConv	ENSG00000182771	lncgConv	ENSCAFG00845006263	1.1.1	538	ENSG00000234942	n.1.1	0	one_to_one
ENSCAFG00845028591	lncgConv	ENSG00000185532	lncgConv	ENSCAFG00845028471	1.1.1	1475	ENSG00000236671	n.n.n	0	one_to_one
ENSCAFG00845003473	lncgConv	ENSG00000185669	lncgConv	ENSCAFG00845003485	1.1.1	1139	ENSG00000260630	n.n.n	0	one_to_one
ENSCAFG00845003273	lncgConv	ENSG00000185742	lncgConv	ENSCAFG00845003223	1.1.1	36	ENSG00000255028	n.1.1	0	one_to_one
ENSCAFG00845018126	lncgConv	ENSG00000185973	lncgConv	ENSCAFG00845018105	1.1.1	1045	ENSG00000224533;ENSG00000225393	n.n.1;1.1.1	0;1965	one_to_many
ENSCAFG00845000113	lncgConv	ENSG00000186020	lncgConv	ENSCAFG00845000094	1.1.1	1404	ENSG00000228629	1.1.1	0	one_to_one
ENSCAFG00845017951	lncgConv	ENSG00000186407	lncgConv	ENSCAFG00845017979	1.1.1	2421	ENSG00000261222	n.1.1	2639	one_to_one
ENSCAFG00845003925	lncgConv	ENSG00000186628	lncgConv	ENSCAFG00845003886	1.1.1	1575	ENSG00000252690;ENSG00000250988	1.1.1;n.n.1	0;0	one_to_many
ENSCAFG00845007558	lncgConv	ENSG00000188227	lncgConv	ENSCAFG00845007584	1.1.1	1676	ENSG00000180458	1.1.1	0	one_to_one
ENSCAFG00845018997	lncgConv	ENSG00000196700	lncgConv	ENSCAFG00845018871	1.1.1	3592	ENSG00000280213	1.1.1	0	one_to_one
ENSCAFG00845011255	lncgConv	ENSG00000205279	lncgConv	ENSCAFG00845011293	1.1.1	2151	ENSG00000248799	1.1.1	0	one_to_one
ENSCAFG00845020393	lncgConv	ENSG00000213246	lncgConv	ENSCAFG00845020376	1.1.1	1598	ENSG00000265148	n.n.n	0	one_to_one
ENSCAFG00845000698	lncgConv	ENSG00000215421	lncgConv	ENSCAFG00845000678	1.1.1	1438	ENSG00000278607	n.1.1	4521	one_to_one
ENSCAFG00845007911	lncgConv	ENSG00000257727	lncgConv	ENSCAFG00845007886	1.1.1	2009	ENSG00000257303	n.1.n	0	one_to_one
ENSCAFG00845002386	lncgDivg	ENSG00000002587	lncgDivg	ENSCAFG00845002377	1.1.1	3452	ENSG00000287778	n.n.1	0	one_to_one
ENSCAFG00845017152	lncgDivg	ENSG00000002746	lncgDivg	ENSCAFG00845017845	1.1.1	960	ENSG00000232006;ENSG00000228680;ENSG00000231638	n.n.n;n.1.1;1.1.1	0;0;0	one_to_many
ENSCAFG00845017640	lncgDivg	ENSG00000010810	lncgDivg	ENSCAFG00845018124	1.1.1	1495	ENSG00000289256	n.1.1	136	one_to_one
ENSCAFG00845022066	lncgDivg	ENSG00000012232	lncgDivg	ENSCAFG00845022152	1.1.1	4215	ENSG00000246339	n.n.1	0	one_to_one
ENSCAFG00845025631	lncgDivg	ENSG00000013573	lncgDivg	ENSCAFG00845025422	1.1.1	139	ENSG00000245614	n.1.1	13	one_to_one
ENSCAFG00845008549	lncgDivg	ENSG00000014123	lncgDivg	ENSCAFG00845008529	1.1.1	112	ENSG00000233797	n.n.1	0	one_to_one
ENSCAFG00845023767	lncgDivg	ENSG00000034713	lncgDivg	ENSCAFG00845023863	1.1.1	127	ENSG00000276523	1.1.1	0	one_to_one
ENSCAFG00845027818	lncgDivg	ENSG00000047346	lncgDivg	ENSCAFG00845027920	1.1.1	2207	ENSG00000287500	1.1.1	0	one_to_one
ENSCAFG00845006703	lncgDivg	ENSG00000048052	lncgDivg	ENSCAFG00845006565	1.1.1	1241	ENSG00000225000;ENSG00000226522	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845025995	lncgDivg	ENSG00000048405	lncgDivg	ENSCAFG00845025933	1.1.1	832	ENSG00000224138	1.1.1	0	one_to_one
ENSCAFG00845013039	lncgDivg	ENSG00000053328	lncgDivg	ENSCAFG00845013054	1.1.1	1829	ENSG00000287268	1.1.1	0	one_to_one
ENSCAFG00845000045	lncgDivg	ENSG00000060069	lncgDivg	ENSCAFG00845000055	1.1.1	631	ENSG00000274828;ENSG00000266901;ENSG00000178412	1.1.1;1.1.1;1.1.1	439;0;58	one_to_many
ENSCAFG00845010390	lncgDivg	ENSG00000060558	lncgDivg	ENSCAFG00845010438	1.1.1	699	ENSG00000267551	1.1.1	0	one_to_one
ENSCAFG00845006393	lncgDivg	ENSG00000062650	lncgDivg	ENSCAFG00845006535	1.1.1	2546	ENSG00000227896	1.1.1	153	one_to_one
ENSCAFG00845025354	lncgDivg	ENSG00000065413	lncgDivg	ENSCAFG00845026192	1.1.1	472	ENSG00000231621;ENSG00000225979	n.1.1;1.1.1	0;220	one_to_many
ENSCAFG00845007651	lncgDivg	ENSG00000067715	lncgDivg	ENSCAFG00845007600	1.1.1	1238	ENSG00000257191	1.1.1	0	one_to_one
ENSCAFG00845028570	lncgDivg	ENSG00000069943	lncgDivg	ENSCAFG00845028556	1.1.1	21	ENSG00000277548;ENSG00000274765	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845014800	lncgDivg	ENSG00000070423	lncgDivg	ENSCAFG00845014778	1.1.1	187	ENSG00000267666	1.1.1	249	one_to_one
ENSCAFG00845025229	lncgDivg	ENSG00000072609	lncgDivg	ENSCAFG00845025179	1.1.1	201	ENSG00000236617;ENSG00000250790	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845005700	lncgDivg	ENSG00000074590	lncgDivg	ENSCAFG00845005687	1.1.1	786	ENSG00000257438	1.1.1	0	one_to_one
ENSCAFG00845002161	lncgDivg	ENSG00000080503	lncgDivg	ENSCAFG00845002071	1.1.1	1811	ENSG00000236199	1.1.1	0	one_to_one
ENSCAFG00845002440	lncgDivg	ENSG00000080608	lncgDivg	ENSCAFG00845002471	1.1.1	1612	ENSG00000289552	1.1.1	219	one_to_one
ENSCAFG00845022333	lncgDivg	ENSG00000081320	lncgDivg	ENSCAFG00845022375	1.1.1	744	ENSG00000272211	1.1.1	0	one_to_one
ENSCAFG00845011818	lncgDivg	ENSG00000087903	lncgDivg	ENSCAFG00845011782	1.1.1	1	ENSG00000267262;ENSG00000267299	n.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845024211	lncgDivg	ENSG00000089116	lncgDivg	ENSCAFG00845024262	1.1.1	490	ENSG00000257935	n.n.1	0	one_to_one
ENSCAFG00845029643	lncgDivg	ENSG00000090661	lncgDivg	ENSCAFG00845029620	1.1.1	659	ENSG00000271717	1.1.1	0	one_to_one
ENSCAFG00845006249	lncgDivg	ENSG00000091039	lncgDivg	ENSCAFG00845006552	1.1.1	288	ENSG00000257526	n.1.1	2485	one_to_one
ENSCAFG00845005513	lncgDivg	ENSG00000092421	lncgDivg	ENSCAFG00845005650	n.1.1	2264	ENSG00000249167;ENSG00000248445	n.n.1;n.n.1	0;0	one_to_many
ENSCAFG00845011398	lncgDivg	ENSG00000093000	lncgDivg	ENSCAFG00845011464	1.1.1	316	ENSG00000226328	n.1.1	11302	one_to_one
ENSCAFG00845027518	lncgDivg	ENSG00000093167	lncgDivg	ENSCAFG00845028180	1.1.1	301	ENSG00000290046;ENSG00000271993	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845029693	lncgDivg	ENSG00000100109	lncgDivg	ENSCAFG00845029702	1.1.1	136	ENSG00000261188	n.n.1	0	one_to_one
ENSCAFG00845027398	lncgDivg	ENSG00000100288	lncgDivg	ENSCAFG00845027295	n.1.1	246	ENSG00000272940;ENSG00000205559	1.1.1;n.1.1	0;0	one_to_many
ENSCAFG00845004209	lncgDivg	ENSG00000101489	lncgDivg	ENSCAFG00845004142	n.1.1	1550	ENSG00000267707;ENSG00000267202;ENSG00000285940	1.1.1;n.1.1;n.n.1	0;0;0	one_to_many
ENSCAFG00845000590	lncgDivg	ENSG00000101493	lncgDivg	ENSCAFG00845000571;ENSCAFG00845000566	1.1.1;1.1.1	575;3911	ENSG00000265778;ENSG00000263982;ENSG00000275763	n.1.1;1.1.1;1.1.1	0;0;279	many_to_many
ENSCAFG00845004692	lncgDivg	ENSG00000101558	lncgDivg	ENSCAFG00845004685	1.1.1	1210	ENSG00000272799	1.1.1	1167	one_to_one
ENSCAFG00845002887	lncgDivg	ENSG00000101751	lncgDivg	ENSCAFG00845002908	1.1.1	3266	ENSG00000277324	1.1.1	0	one_to_one
ENSCAFG00845024154	lncgDivg	ENSG00000102543	lncgDivg	ENSCAFG00845024376	1.1.1	1327	ENSG00000288743	1.1.1	85	one_to_one
ENSCAFG00845009733	lncgDivg	ENSG00000102804	lncgDivg	ENSCAFG00845009674	1.1.1	16	ENSG00000278156	n.n.1	0	one_to_one
ENSCAFG00845004446	lncgDivg	ENSG00000102924	lncgDivg	ENSCAFG00845004434	1.1.1	236	ENSG00000279249	n.n.n	1829	one_to_one
ENSCAFG00845013226	lncgDivg	ENSG00000105810	lncgDivg	ENSCAFG00845013253	1.1.1	1218	ENSG00000286742;ENSG00000237819	n.1.1;n.n.1	0;0	one_to_many
ENSCAFG00845009632	lncgDivg	ENSG00000105875	lncgDivg	ENSCAFG00845009605	1.1.1	1903	ENSG00000231794	n.n.1	0	one_to_one
ENSCAFG00845004136	lncgDivg	ENSG00000106236	lncgDivg	ENSCAFG00845004150	n.1.1	1254	ENSG00000288889	1.1.1	135	one_to_one
ENSCAFG00845000056	lncgDivg	ENSG00000107372	lncgDivg	ENSCAFG00845000049	1.1.1	3779	ENSG00000288865	1.1.1	188	one_to_one
ENSCAFG00845027843	lncgDivg	ENSG00000107954	lncgDivg	ENSCAFG00845027810	1.1.1	524	ENSG00000235470;ENSG00000287419	n.n.1;1.1.1	0;0	one_to_many
ENSCAFG00845005385	lncgDivg	ENSG00000108984	lncgDivg	ENSCAFG00845005375	1.1.1	1717	ENSG00000267653	1.1.1	0	one_to_one
ENSCAFG00845001046	lncgDivg	ENSG00000110330	lncgDivg	ENSCAFG00845001084	1.1.1	2634	ENSG00000288833	1.1.1	1	one_to_one
ENSCAFG00845020064	lncgDivg	ENSG00000111300	lncgDivg	ENSCAFG00845020310	1.1.1	3	ENSG00000258323	1.1.1	0	one_to_one
ENSCAFG00845000139	lncgDivg	ENSG00000111912	lncgDivg	ENSCAFG00845000100	1.1.1	148	ENSG00000232131	1.1.1	0	one_to_one
ENSCAFG00845010533	lncgDivg	ENSG00000112715	lncgDivg	ENSCAFG00845010449	n.1.1	1474	ENSG00000272114	1.1.1	0	one_to_one
ENSCAFG00845018389	lncgDivg	ENSG00000112739	lncgDivg	ENSCAFG00845018340	1.1.1	3326	ENSG00000288904;ENSG00000230648	1.1.1;1.1.1	2495;52	one_to_many
ENSCAFG00845018962	lncgDivg	ENSG00000112769	lncgDivg	ENSCAFG00845020629	1.1.1	2943	ENSG00000237234	n.n.1	0	one_to_one
ENSCAFG00845010758	lncgDivg	ENSG00000112851	lncgDivg	ENSCAFG00845010536	1.1.1	2824	ENSG00000269961	1.1.1	0	one_to_one
ENSCAFG00845004163	lncgDivg	ENSG00000112893	lncgDivg	ENSCAFG00845000171	n.n.n	903	ENSG00000271849	1.1.1	1598	one_to_one
ENSCAFG00845002783	lncgDivg	ENSG00000113361	lncgDivg	ENSCAFG00845002828	1.1.1	1962	ENSG00000254138;ENSG00000289601	1.1.1;n.1.1	0;0	one_to_many
ENSCAFG00845003525	lncgDivg	ENSG00000113594	lncgDivg	ENSCAFG00845003505	1.1.1	4496	ENSG00000244968	n.n.1	0	one_to_one
ENSCAFG00845022767	lncgDivg	ENSG00000114423	lncgDivg	ENSCAFG00845023162	1.1.1	520	ENSG00000288848	1.1.1	0	one_to_one
ENSCAFG00845019423	lncgDivg	ENSG00000114812	lncgDivg	ENSCAFG00845019344	1.1.1	4853	ENSG00000232354	n.n.1	0	one_to_one
ENSCAFG00845009556	lncgDivg	ENSG00000115306	lncgDivg	ENSCAFG00845009426	1.1.1	981	ENSG00000234943;ENSG00000228108	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845015278	lncgDivg	ENSG00000117394	lncgDivg	ENSCAFG00845015237	1.1.1	266	ENSG00000227533	n.1.1	156	one_to_one
ENSCAFG00845001606	lncgDivg	ENSG00000117707	lncgDivg	ENSCAFG00845001588	n.1.1	283	ENSG00000272167;ENSG00000274895;ENSG00000230461	1.1.1;1.1.1;n.n.1	0;0;0	one_to_many
ENSCAFG00845016438	lncgDivg	ENSG00000119004	lncgDivg	ENSCAFG00845016355	1.1.1	1834	ENSG00000289294	1.1.1	0	one_to_one
ENSCAFG00845001755	lncgDivg	ENSG00000121931	lncgDivg	ENSCAFG00845001745	1.1.1	129	ENSG00000273010	1.1.1	0	one_to_one
ENSCAFG00845012621	lncgDivg	ENSG00000122203	lncgDivg	ENSCAFG00845012545	1.1.1	77	ENSG00000250909;ENSG00000251414	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845029008	lncgDivg	ENSG00000122547	lncgDivg	ENSCAFG00845028986	1.1.1	3505	ENSG00000229679	1.1.1	0	one_to_one
ENSCAFG00845014772	lncgDivg	ENSG00000124155	lncgDivg	ENSCAFG00845014620	1.1.1	528	ENSG00000277022	1.1.1	0	one_to_one
ENSCAFG00845017149	lncgDivg	ENSG00000124766	lncgDivg	ENSCAFG00845017130	1.1.1	2339	ENSG00000283480	1.1.1	0	one_to_one
ENSCAFG00845009729	lncgDivg	ENSG00000124772	lncgDivg	ENSCAFG00845009935	1.1.1	104	ENSG00000285888	1.1.1	0	one_to_one
ENSCAFG00845028808	lncgDivg	ENSG00000124839	lncgDivg	ENSCAFG00845028849	1.1.1	93	ENSG00000234949	n.n.1	0	one_to_one
ENSCAFG00845027483	lncgDivg	ENSG00000125816	lncgDivg	ENSCAFG00845027463	1.1.1	656	ENSG00000225280	n.1.1	1367	one_to_one
ENSCAFG00845016121	lncgDivg	ENSG00000125846	lncgDivg	ENSCAFG00845016201	1.1.1	256	ENSG00000237259	1.1.1	0	one_to_one
ENSCAFG00845015390	lncgDivg	ENSG00000125945	lncgDivg	ENSCAFG00845015374	1.1.1	168	ENSG00000249087	n.n.1	0	one_to_one
ENSCAFG00845020266	lncgDivg	ENSG00000128951	lncgDivg	ENSCAFG00845020205	1.1.1	162	ENSG00000259488	n.1.1	0	one_to_one
ENSCAFG00845027733	lncgDivg	ENSG00000130487	lncgDivg	ENSCAFG00845027757	1.1.1	2232	ENSG00000289947;ENSG00000272666	1.1.1;1.1.1	4052;2993	one_to_many
ENSCAFG00845013721	lncgDivg	ENSG00000130675	lncgDivg	ENSCAFG00845013752	n.n.n	2137	ENSG00000235029;ENSG00000243479	1.1.1;1.1.1	0;142	one_to_many
ENSCAFG00845017212	lncgDivg	ENSG00000130700	lncgDivg	ENSCAFG00845017267	1.1.1	2445	ENSG00000272050	1.1.1	1875	one_to_one
ENSCAFG00845012434	lncgDivg	ENSG00000132466	lncgDivg	ENSCAFG00845005652	1.1.1	1435	ENSG00000250220	1.1.1	411	one_to_one
ENSCAFG00845009258	lncgDivg	ENSG00000133112	lncgDivg	ENSCAFG00845009220	1.1.1	2500	ENSG00000273149	1.1.1	0	one_to_one
ENSCAFG00845020800	lncgDivg	ENSG00000133687	lncgDivg	ENSCAFG00845020623	1.1.1	1211	ENSG00000257456	1.1.1	0	one_to_one
ENSCAFG00845017757	lncgDivg	ENSG00000133816	lncgDivg	ENSCAFG00845017480	1.1.1	3431	ENSG00000254680	1.1.1	0	one_to_one
ENSCAFG00845028052	lncgDivg	ENSG00000134884	lncgDivg	ENSCAFG00845028123	n.1.1	106	ENSG00000272274	n.1.1	121	one_to_one
ENSCAFG00845020467	lncgDivg	ENSG00000135362	lncgDivg	ENSCAFG00845020642	1.1.1	1464	ENSG00000254566;ENSG00000255060	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845005265	lncgDivg	ENSG00000135541	lncgDivg	ENSCAFG00845005394	n.1.1	235	ENSG00000231028;ENSG00000287094;ENSG00000234084	n.n.1;1.1.1;1.1.1	0;0;0	one_to_many
ENSCAFG00845009846	lncgDivg	ENSG00000135972	lncgDivg	ENSCAFG00845009917	n.1.1	538	ENSG00000224509	n.n.1	0	one_to_one
ENSCAFG00845014314	lncgDivg	ENSG00000137145	lncgDivg	ENSCAFG00845014275	1.1.1	293	ENSG00000272842;ENSG00000232978	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845017898	lncgDivg	ENSG00000137266	lncgDivg	ENSCAFG00845018048	1.1.1	875	ENSG00000272320	1.1.1	0	one_to_one
ENSCAFG00845011790	lncgDivg	ENSG00000137494	lncgDivg	ENSCAFG00845011946	1.1.1	527	ENSG00000254551	1.1.1	0	one_to_one
ENSCAFG00845029791	lncgDivg	ENSG00000137563	lncgDivg	ENSCAFG00845029810;ENSCAFG00845029816	1.1.1;1.1.1	132;2584	ENSG00000253121	1.1.1	0	many_to_one
ENSCAFG00845018164	lncgDivg	ENSG00000137872	lncgDivg	ENSCAFG00845018049	1.1.1	2251	ENSG00000259360;ENSG00000259221;ENSG00000259588	1.1.1;n.1.1;1.1.1	0;0;0	one_to_many
ENSCAFG00845020438	lncgDivg	ENSG00000138061	lncgDivg	ENSCAFG00845020477	1.1.1	163	ENSG00000232973	n.n.1	0	one_to_one
ENSCAFG00845029330	lncgDivg	ENSG00000138138	lncgDivg	ENSCAFG00845029373	1.1.1	863	ENSG00000290782	n.n.1	0	one_to_one
ENSCAFG00845022474	lncgDivg	ENSG00000138411	lncgDivg	ENSCAFG00845022672	1.1.1	104	ENSG00000229056	n.1.1	0	one_to_one
ENSCAFG00845017310	lncgDivg	ENSG00000138495	lncgDivg	ENSCAFG00845017339	1.1.1	155	ENSG00000286584	n.n.1	0	one_to_one
ENSCAFG00845030708	lncgDivg	ENSG00000138606	lncgDivg	ENSCAFG00845030744	1.1.1	4648	ENSG00000259519	1.1.1	0	one_to_one
ENSCAFG00845023391	lncgDivg	ENSG00000138650	lncgDivg	ENSCAFG00845023476	n.1.1	1163	ENSG00000250241	n.1.1	147	one_to_one
ENSCAFG00845015064	lncgDivg	ENSG00000138758	lncgDivg	ENSCAFG00845014895	1.1.1	157	ENSG00000289586	n.1.1	112	one_to_one
ENSCAFG00845019341	lncgDivg	ENSG00000139734	lncgDivg	ENSCAFG00845019981	1.1.1	21	ENSG00000227528;ENSG00000223815	n.n.1;1.1.1	0;0	one_to_many
ENSCAFG00845015414	lncgDivg	ENSG00000140044	lncgDivg	ENSCAFG00845015385	1.1.1	3786	ENSG00000259319	n.n.1	0	one_to_one
ENSCAFG00845029058	lncgDivg	ENSG00000140481	lncgDivg	ENSCAFG00845029020	1.1.1	1244	ENSG00000277749	1.1.1	0	one_to_one
ENSCAFG00845004161	lncgDivg	ENSG00000140521	lncgDivg	ENSCAFG00845004187	1.1.1	1331	ENSG00000261441	n.1.1	192	one_to_one
ENSCAFG00845012661	lncgDivg	ENSG00000141314	lncgDivg	ENSCAFG00845012774	n.1.1	772	ENSG00000287506;ENSG00000263674	1.1.1;1.1.1	428;0	one_to_many
ENSCAFG00845024031	lncgDivg	ENSG00000142156	lncgDivg	ENSCAFG00845023998	1.1.1	2652	ENSG00000289224	1.1.1	4056	one_to_one
ENSCAFG00845026778	lncgDivg	ENSG00000142166	lncgDivg	ENSCAFG00845026695	1.1.1	172	ENSG00000289238	1.1.1	0	one_to_one
ENSCAFG00845015660	lncgDivg	ENSG00000142192	lncgDivg	ENSCAFG00845017653	n.1.1	3	ENSG00000224541;ENSG00000233783;ENSG00000273492	1.1.1;n.1.1;n.1.1	0;0;0	one_to_many
ENSCAFG00845028347	lncgDivg	ENSG00000143353	lncgDivg	ENSCAFG00845028299	n.1.1	216	ENSG00000228063	n.n.1	0	one_to_one
ENSCAFG00845020068	lncgDivg	ENSG00000144451	lncgDivg	ENSCAFG00845020033	n.1.1	162	ENSG00000196096	1.1.1	184	one_to_one
ENSCAFG00845030657	lncgDivg	ENSG00000144504	lncgDivg	ENSCAFG00845030678	1.1.1	2768	ENSG00000287049	1.1.1	0	one_to_one
ENSCAFG00845024248	lncgDivg	ENSG00000145358	lncgDivg	ENSCAFG00845024286	1.1.1	1533	ENSG00000249710	1.1.1	0	one_to_one
ENSCAFG00845003624	lncgDivg	ENSG00000145934	lncgDivg	ENSCAFG00845004019	1.1.1	2032	ENSG00000254365;ENSG00000253947;ENSG00000253713;ENSG00000253527;ENSG00000253925;ENSG00000254187;ENSG00000253660;ENSG00000253469;ENSG00000254297	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	0;0;0;0;0;0;0;0;0	one_to_many
ENSCAFG00845010452	lncgDivg	ENSG00000146242	lncgDivg	ENSCAFG00845010409	1.1.1	589	ENSG00000286875	1.1.1	0	one_to_one
ENSCAFG00845031062	lncgDivg	ENSG00000146966	lncgDivg	ENSCAFG00845031055	1.1.1	2201	ENSG00000285904	1.1.1	0	one_to_one
ENSCAFG00845029113	lncgDivg	ENSG00000148680	lncgDivg	ENSCAFG00845029145	1.1.1	24	ENSG00000289580	n.1.1	0	one_to_one
ENSCAFG00845009016	lncgDivg	ENSG00000149571	lncgDivg	ENSCAFG00845008952	n.1.1	2698	ENSG00000255317;ENSG00000257271;ENSG00000254607;ENSG00000254960;ENSG00000218109	1.1.1;1.1.1;n.1.1;n.1.1;1.1.1	0;0;0;0;0	one_to_many
ENSCAFG00845029599	lncgDivg	ENSG00000149970	lncgDivg	ENSCAFG00845029407	n.1.1	123	ENSG00000283380;ENSG00000288832	n.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845002947	lncgDivg	ENSG00000150093	lncgDivg	ENSCAFG00845002869	1.1.1	449	ENSG00000229656	n.n.1	0	one_to_one
ENSCAFG00845017140	lncgDivg	ENSG00000151353	lncgDivg	ENSCAFG00845017200	1.1.1	3886	ENSG00000233296	n.n.1	0	one_to_one
ENSCAFG00845018483	lncgDivg	ENSG00000151743	lncgDivg	ENSCAFG00845018451	1.1.1	50	ENSG00000276900	1.1.1	0	one_to_one
ENSCAFG00845017674	lncgDivg	ENSG00000152784	lncgDivg	ENSCAFG00845017649	1.1.1	3925	ENSG00000248719	n.n.1	0	one_to_one
ENSCAFG00845026437	lncgDivg	ENSG00000153707	lncgDivg	ENSCAFG00845027822	1.1.1	179	ENSG00000234021;ENSG00000225706;ENSG00000230920;ENSG00000226717	1.1.1;n.1.1;1.1.1;1.1.1	0;0;0;200	one_to_many
ENSCAFG00845019416	lncgDivg	ENSG00000153936	lncgDivg	ENSCAFG00845019467	1.1.1	628	ENSG00000267734	1.1.1	0	one_to_one
ENSCAFG00845000424	lncgDivg	ENSG00000155592	lncgDivg	ENSCAFG00845000388	1.1.1	3145	ENSG00000274925;ENSG00000259955	1.1.1;1.1.1	107;0	one_to_many
ENSCAFG00845012859	lncgDivg	ENSG00000157212	lncgDivg	ENSCAFG00845012942;ENSCAFG00845012921	1.1.1;n.1.1	2470;1142	ENSG00000273344;ENSG00000273183;ENSG00000272760	1.1.1;1.1.1;1.1.1	297;0;0	many_to_many
ENSCAFG00845015006	lncgDivg	ENSG00000158106	lncgDivg	ENSCAFG00845014930	1.1.1	2699	ENSG00000254389	1.1.1	328	one_to_one
ENSCAFG00845016674	lncgDivg	ENSG00000160190	lncgDivg	ENSCAFG00845016611	1.1.1	52	ENSG00000235772	1.1.1	0	one_to_one
ENSCAFG00845019541	lncgDivg	ENSG00000160223	lncgDivg	ENSCAFG00845019632	1.1.1	128	ENSG00000278158	1.1.1	129	one_to_one
ENSCAFG00845021885	lncgDivg	ENSG00000160256	lncgDivg	ENSCAFG00845021848	n.n.n	1957	ENSG00000183250	n.1.1	167	one_to_one
ENSCAFG00845011111	lncgDivg	ENSG00000160551	lncgDivg	ENSCAFG00845011060	1.1.1	84	ENSG00000264808	n.n.1	0	one_to_one
ENSCAFG00845012692	lncgDivg	ENSG00000160953	lncgDivg	ENSCAFG00845012813	1.1.1	1662	ENSG00000267755	n.1.1	0	one_to_one
ENSCAFG00845017204	lncgDivg	ENSG00000161544	lncgDivg	ENSCAFG00845017150	1.1.1	125	ENSG00000267543	1.1.1	0	one_to_one
ENSCAFG00845024735	lncgDivg	ENSG00000162009	lncgDivg	ENSCAFG00845024765	1.1.1	133	ENSG00000261713	n.n.1	0	one_to_one
