PCG.Mus_musculus	conf.Mus_musculus	PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	lncRNA.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	orthology_type.Mus_musculus-Canis_lupus_familiaris
ENSMUSG00000024206	lncgDivg	ENSCAFG00845011818	lncgDivg	ENSMUSG00000121209	1.1.1	0	ENSCAFG00845011782	1.1.1	1	one_to_one
ENSMUSG00000061175	lncgDivg	ENSCAFG00845011970	lncgDivg	ENSMUSG00000068957	1.1.1	396	ENSCAFG00845011913	n.1.1	587	one_to_one
ENSMUSG00000031871	lncgDivg	ENSCAFG00845012097	lncgDivg	ENSMUSG00000110053	1.1.1	0	ENSCAFG00845012137	n.1.1	839	one_to_one
ENSMUSG00000024304	lncgDivg	ENSCAFG00845012116	lncgDivg	ENSMUSG00000085575	1.1.1	0	ENSCAFG00845012049	1.1.1	250	one_to_one
ENSMUSG00000055204	lncgDivg	ENSCAFG00845012434	lncgDivg	ENSMUSG00000054945	n.1.1	43	ENSCAFG00845005652	1.1.1	1435	one_to_one
ENSMUSG00000002221	lncgDivg	ENSCAFG00845012859	lncgDivg	ENSMUSG00000120915	1.1.1	38	ENSCAFG00845012942;ENSCAFG00845012921	1.1.1;n.1.1	2470;1142	one_to_many
ENSMUSG00000034453	lncgDivg	ENSCAFG00845013006	lncgDivg	ENSMUSG00000097309	1.1.1	0	ENSCAFG00845013073	1.1.1	15	one_to_one
ENSMUSG00000034813	lncgDivg	ENSCAFG00845013018	lncgDivg	ENSMUSG00000085418;ENSMUSG00000112555;ENSMUSG00000084764;ENSMUSG00000085454	n.1.1;1.1.1;1.1.1;n.1.1	0;0;0;0	ENSCAFG00845013464	1.1.1	1418	many_to_one
ENSMUSG00000038481	lncgDivg	ENSCAFG00845013205	lncgDivg	ENSMUSG00000038491	n.1.1	0	ENSCAFG00845016096	n.1.1	889	one_to_one
ENSMUSG00000040274	lncgDivg	ENSCAFG00845013226	lncgDivg	ENSMUSG00000106588;ENSMUSG00000105534	n.n.1;1.1.1	0;0	ENSCAFG00845013253	1.1.1	1218	many_to_one
ENSMUSG00000090112	lncgDivg	ENSCAFG00845013379	lncgDivg	ENSMUSG00000090070	1.1.1	0	ENSCAFG00845013621	n.1.1	376	one_to_one
ENSMUSG00000089911	lncgDivg	ENSCAFG00845013447	lncgDivg	ENSMUSG00000105339	1.1.1	0	ENSCAFG00845013466	1.1.1	2205	one_to_one
ENSMUSG00000020212	lncgDivg	ENSCAFG00845013780	lncgDivg	ENSMUSG00000112684	1.1.1	0	ENSCAFG00845013855	n.n.n	4917	one_to_one
ENSMUSG00000038217	lncgDivg	ENSCAFG00845014687	lncgDivg	ENSMUSG00000120190	1.1.1	569	ENSCAFG00845014702	1.1.1	1469	one_to_one
ENSMUSG00000022708	lncgDivg	ENSCAFG00845015177	lncgDivg	ENSMUSG00000116903;ENSMUSG00000055370;ENSMUSG00000085499;ENSMUSG00000075070	1.1.1;1.1.1;1.1.1;n.1.1	0;0;0;119	ENSCAFG00845015227	n.1.1	30068	many_to_one
ENSMUSG00000028645	lncgDivg	ENSCAFG00845015278	lncgDivg	ENSMUSG00000086683	1.1.1	0	ENSCAFG00845015237	1.1.1	266	one_to_one
ENSMUSG00000034271	lncgDivg	ENSCAFG00845015414	lncgDivg	ENSMUSG00000113165	1.1.1	0	ENSCAFG00845015385	1.1.1	3786	one_to_one
ENSMUSG00000069171	lncgDivg	ENSCAFG00845015564	lncgDivg	ENSMUSG00000087143	n.n.1	0	ENSCAFG00845015649	n.1.1	3719	one_to_one
ENSMUSG00000022892	lncgDivg	ENSCAFG00845015660	lncgDivg	ENSMUSG00000115469;ENSMUSG00000114988;ENSMUSG00000115518	1.1.1;1.1.1;1.1.1	0;0;0	ENSCAFG00845017653	n.1.1	3	many_to_one
ENSMUSG00000041014	lncgDivg	ENSCAFG00845015872	lncgDivg	ENSMUSG00000093556;ENSMUSG00000093383;ENSMUSG00000093528	1.1.1;1.1.1;1.1.1	0;0;0	ENSCAFG00845015727	1.1.1	1046	many_to_one
ENSMUSG00000002845	lncgDivg	ENSCAFG00845016497	lncgDivg	ENSMUSG00000091238	1.1.1	0	ENSCAFG00845016555	1.1.1	629	one_to_one
ENSMUSG00000046688	lncgDivg	ENSCAFG00845016552	lncgDivg	ENSMUSG00000120996	1.1.1	0	ENSCAFG00845016602	1.1.1	273	one_to_one
ENSMUSG00000021848	lncgDivg	ENSCAFG00845017045	lncgDivg	ENSMUSG00000098682	n.n.1	0	ENSCAFG00845017086	1.1.1	1132	one_to_one
ENSMUSG00000021301	lncgDivg	ENSCAFG00845017152	lncgDivg	ENSMUSG00000113654	n.n.1	0	ENSCAFG00845017845	1.1.1	960	one_to_one
ENSMUSG00000038193	lncgDivg	ENSCAFG00845017182	lncgDivg	ENSMUSG00000100510	n.n.1	0	ENSCAFG00845017236	n.1.1	1188	one_to_one
ENSMUSG00000015627	lncgDivg	ENSCAFG00845017212	lncgDivg	ENSMUSG00000056061	1.1.1	0	ENSCAFG00845017267	1.1.1	2445	one_to_one
ENSMUSG00000043496	lncgDivg	ENSCAFG00845017572	lncgDivg	ENSMUSG00000108255;ENSMUSG00000108175	n.n.1;1.1.1	0;0	ENSCAFG00845017601	n.n.n	2911	many_to_one
ENSMUSG00000019843	lncgDivg	ENSCAFG00845017640	lncgDivg	ENSMUSG00000119997;ENSMUSG00000087014	n.n.1;1.1.1	0;0	ENSCAFG00845018124	1.1.1	1495	many_to_one
ENSMUSG00000035456	lncgDivg	ENSCAFG00845017674	lncgDivg	ENSMUSG00000045238	n.1.1	0	ENSCAFG00845017649	1.1.1	3925	one_to_one
ENSMUSG00000036585	lncgDivg	ENSCAFG00845017942	lncgDivg	ENSMUSG00000117994	n.n.n	0	ENSCAFG00845018059	1.1.1	109	one_to_one
ENSMUSG00000048482	lncgDivg	ENSCAFG00845017969	lncgDivg	ENSMUSG00000109604	1.1.1	0	ENSCAFG00845018009;ENSCAFG00845018023	1.1.1;1.1.1	133;1764	one_to_many
ENSMUSG00000035762	lncgDivg	ENSCAFG00845018131	lncgDivg	ENSMUSG00000097292	n.1.1	121	ENSCAFG00845018054	1.1.1	1552	one_to_one
ENSMUSG00000027200	lncgDivg	ENSCAFG00845018164	lncgDivg	ENSMUSG00000086954;ENSMUSG00000085496	1.1.1;1.1.1	0;0	ENSCAFG00845018049	1.1.1	2251	many_to_one
ENSMUSG00000021413	lncgDivg	ENSCAFG00845018389	lncgDivg	ENSMUSG00000113170	1.1.1	0	ENSCAFG00845018340	1.1.1	3326	one_to_one
ENSMUSG00000028300	lncgDivg	ENSCAFG00845018783	lncgDivg	ENSMUSG00000084828	n.1.1	0	ENSCAFG00845018927	n.1.1	1208	one_to_one
ENSMUSG00000051401	lncgDivg	ENSCAFG00845019378	lncgDivg	ENSMUSG00000118315;ENSMUSG00000117674	1.1.1;1.1.1	0;0	ENSCAFG00845019366;ENSCAFG00845019325	1.1.1;n.1.1	922;1983	many_to_many_strict
ENSMUSG00000044927	lncgDivg	ENSCAFG00845019714	lncgDivg	ENSMUSG00000084950	n.n.n	0	ENSCAFG00845019682	n.1.1	441	one_to_one
ENSMUSG00000025916	lncgDivg	ENSCAFG00845020351	lncgDivg	ENSMUSG00000087199	1.1.1	0	ENSCAFG00845020529	1.1.1	266	one_to_one
ENSMUSG00000032841	lncgDivg	ENSCAFG00845020467	lncgDivg	ENSMUSG00000087465	1.1.1	0	ENSCAFG00845020642	1.1.1	1464	one_to_one
ENSMUSG00000026109	lncgDivg	ENSCAFG00845020476	lncgDivg	ENSMUSG00000101242	1.1.1	0	ENSCAFG00845020648	n.1.1	1415	one_to_one
ENSMUSG00000006715	lncgDivg	ENSCAFG00845020530	lncgDivg	ENSMUSG00000120886	1.1.1	0	ENSCAFG00845020481	n.1.1	378	one_to_one
ENSMUSG00000032733	lncgDivg	ENSCAFG00845020696	lncgDivg	ENSMUSG00000111629	1.1.1	3260	ENSCAFG00845020663	1.1.1	292	one_to_one
ENSMUSG00000030306	lncgDivg	ENSCAFG00845020800	lncgDivg	ENSMUSG00000108148	1.1.1	0	ENSCAFG00845020623	1.1.1	1211	one_to_one
ENSMUSG00000030759	lncgDivg	ENSCAFG00845020980	lncgDivg	ENSMUSG00000084984	n.1.1	0	ENSCAFG00845020891	n.1.1	4239	one_to_one
ENSMUSG00000042548	lncgDivg	ENSCAFG00845021168	lncgDivg	ENSMUSG00000073236	n.n.1	0	ENSCAFG00845021034	1.1.1	4370	one_to_one
ENSMUSG00000029757	lncgDivg	ENSCAFG00845021237	lncgDivg	ENSMUSG00000085416	1.1.1	0	ENSCAFG00845021146	n.n.n	74	one_to_one
ENSMUSG00000075327	lncgDivg	ENSCAFG00845021289	lncgDivg	ENSMUSG00000095123	1.1.1	3479	ENSCAFG00845000003	1.1.1	3051	one_to_one
ENSMUSG00000034312	lncgDivg	ENSCAFG00845021688	lncgDivg	ENSMUSG00000107999	1.1.1	0	ENSCAFG00845022376	1.1.1	3196	one_to_one
ENSMUSG00000032436	lncgDivg	ENSCAFG00845021847	lncgDivg	ENSMUSG00000052724	1.1.1	0	ENSCAFG00845021917	1.1.1	169	one_to_one
ENSMUSG00000038025	lncgDivg	ENSCAFG00845021923	lncgDivg	ENSMUSG00000086889	1.1.1	0	ENSCAFG00845022149	1.1.1	3282	one_to_one
ENSMUSG00000063632	lncgDivg	ENSCAFG00845022195	lncgDivg	ENSMUSG00000120751	1.1.1	304	ENSCAFG00845022159	n.1.1	11033	one_to_one
ENSMUSG00000071076	lncgDivg	ENSCAFG00845022784	lncgDivg	ENSMUSG00000080058	n.1.1	0	ENSCAFG00845022760	1.1.1	4260	one_to_one
ENSMUSG00000024381	lncgDivg	ENSCAFG00845023270	lncgDivg	ENSMUSG00000097413	n.n.1	0	ENSCAFG00845022927	1.1.1	2156	one_to_one
ENSMUSG00000049100	lncgDivg	ENSCAFG00845023391	lncgDivg	ENSMUSG00000097040	n.1.1	107	ENSCAFG00845023476	n.1.1	1163	one_to_one
ENSMUSG00000008730	lncgDivg	ENSCAFG00845023430	lncgDivg	ENSMUSG00000085754	n.n.1	0	ENSCAFG00845023322	1.1.1	4209	one_to_one
ENSMUSG00000029595	lncgDivg	ENSCAFG00845024211	lncgDivg	ENSMUSG00000098649	n.1.1	0	ENSCAFG00845024262	1.1.1	490	one_to_one
ENSMUSG00000035776	lncgDivg	ENSCAFG00845024375	lncgDivg	ENSMUSG00000085284	1.1.1	0	ENSCAFG00845024529	n.1.1	196	one_to_one
ENSMUSG00000000673	lncgDivg	ENSCAFG00845025017	lncgDivg	ENSMUSG00000121087	1.1.1	0	ENSCAFG00845025071	1.1.1	686	one_to_one
ENSMUSG00000033060	lncgDivg	ENSCAFG00845025227	lncgDivg	ENSMUSG00000053821	n.1.1	142	ENSCAFG00845025097	1.1.1	922	one_to_one
ENSMUSG00000014668	lncgDivg	ENSCAFG00845025229	lncgDivg	ENSMUSG00000105541	1.1.1	0	ENSCAFG00845025179	1.1.1	201	one_to_one
ENSMUSG00000052331	lncgDivg	ENSCAFG00845025354	lncgDivg	ENSMUSG00000101674	n.n.1	0	ENSCAFG00845026192	1.1.1	472	one_to_one
ENSMUSG00000021375	lncgDivg	ENSCAFG00845026182	lncgDivg	ENSMUSG00000114917	1.1.1	0	ENSCAFG00845028220	1.1.1	21	one_to_one
ENSMUSG00000064115	lncgDivg	ENSCAFG00845026392	lncgDivg	ENSMUSG00000092599;ENSMUSG00000045178	1.1.1;n.1.1	0;0	ENSCAFG00845019009	1.1.1	46	many_to_one
ENSMUSG00000028399	lncgDivg	ENSCAFG00845026437	lncgDivg	ENSMUSG00000092492;ENSMUSG00000110373	n.n.1;1.1.1	0;0	ENSCAFG00845027822	1.1.1	179	many_to_one
ENSMUSG00000098923	lncgDivg	ENSCAFG00845027210	lncgDivg	ENSMUSG00000098447	1.1.1	0	ENSCAFG00845027194	1.1.1	3410	one_to_one
ENSMUSG00000022617	lncgDivg	ENSCAFG00845027398	lncgDivg	ENSMUSG00000079242	1.1.1	0	ENSCAFG00845027295	n.1.1	246	one_to_one
ENSMUSG00000055717	lncgDivg	ENSCAFG00845027605	lncgDivg	ENSMUSG00000089707	1.1.1	0	ENSCAFG00845027482	1.1.1	1508	one_to_one
ENSMUSG00000006435	lncgDivg	ENSCAFG00845027843	lncgDivg	ENSMUSG00000118127;ENSMUSG00000117659	1.1.1;1.1.1	0;0	ENSCAFG00845027810	1.1.1	524	many_to_one
ENSMUSG00000027782	lncgDivg	ENSCAFG00845027853	lncgDivg	ENSMUSG00000094763	1.1.1	4120	ENSCAFG00845028107	1.1.1	673	one_to_one
ENSMUSG00000064210	lncgDivg	ENSCAFG00845028362	lncgDivg	ENSMUSG00000115522;ENSMUSG00000078648;ENSMUSG00000097643	1.1.1;1.1.1;1.1.1	0;0;0	ENSCAFG00845028615	n.n.n	1108	many_to_one
ENSMUSG00000000142	lncgDivg	ENSCAFG00845028532	lncgDivg	ENSMUSG00000086268	1.1.1	0	ENSCAFG00845028477	1.1.1	274	one_to_one
ENSMUSG00000031965	lncgDivg	ENSCAFG00845028609	lncgDivg	ENSMUSG00000111275	1.1.1	2164	ENSCAFG00845028651	n.1.1	10285	one_to_one
ENSMUSG00000020610	lncgDivg	ENSCAFG00845028913	lncgDivg	ENSMUSG00000085326	1.1.1	0	ENSCAFG00845028878	1.1.1	893	one_to_one
ENSMUSG00000037716	lncgDivg	ENSCAFG00845029058	lncgDivg	ENSMUSG00000086624;ENSMUSG00000085753	1.1.1;1.1.1	0;0	ENSCAFG00845029020	1.1.1	1244	many_to_one
ENSMUSG00000009097	lncgDivg	ENSCAFG00845029160	lncgDivg	ENSMUSG00000075335	1.1.1	1321	ENSCAFG00845029298	n.1.1	3315	one_to_one
ENSMUSG00000013662	lncgDivg	ENSCAFG00845029330	lncgDivg	ENSMUSG00000120470	1.1.1	0	ENSCAFG00845029373	1.1.1	863	one_to_one
ENSMUSG00000055761	lncgDivg	ENSCAFG00845029711	lncgDivg	ENSMUSG00000086017	1.1.1	0	ENSCAFG00845029682	1.1.1	455	one_to_one
ENSMUSG00000075028	lncgDivg	ENSCAFG00845029718	lncgDivg	ENSMUSG00000075027	n.1.1	0	ENSCAFG00845005862	1.1.1	1574	one_to_one
ENSMUSG00000050017	lncgDivg	ENSCAFG00845029905	lncgDivg	ENSMUSG00000104559	1.1.1	0	ENSCAFG00845029939	1.1.1	220	one_to_one
ENSMUSG00000090125	lncgDivg	ENSCAFG00845030221	lncgDivg	ENSMUSG00000098760	1.1.1	0	ENSCAFG00845030208	n.1.1	62912	one_to_one
ENSMUSG00000038077	lncgDivg	ENSCAFG00845030426	lncgDivg	ENSMUSG00000097596	1.1.1	0	ENSCAFG00845030436	n.1.1	508	one_to_one
ENSMUSG00000036218	lncgDivg	ENSCAFG00845030505	lncgDivg	ENSMUSG00000115858	1.1.1	0	ENSCAFG00845030524	1.1.1	2248	one_to_one
ENSMUSG00000038456	lncgDivg	ENSCAFG00845031062	lncgDivg	ENSMUSG00000085058	n.1.1	0	ENSCAFG00845031055	1.1.1	2201	one_to_one
ENSMUSG00000044876	lncgSS.dw	ENSCAFG00845000307	lncgSS.dw	ENSMUSG00000109165	1.1.1	0	ENSCAFG00845000300	1.1.1	600	one_to_one
ENSMUSG00000052085	lncgSS.dw	ENSCAFG00845001647	lncgSS.dw	ENSMUSG00000120425	1.1.1	0	ENSCAFG00845001860	1.1.1	346	one_to_one
ENSMUSG00000047959	lncgSS.dw	ENSCAFG00845001875	lncgSS.dw	ENSMUSG00000056145	1.1.1	1434	ENSCAFG00845001884	1.1.1	258	one_to_one
ENSMUSG00000032053	lncgSS.dw	ENSCAFG00845002603	lncgSS.dw	ENSMUSG00000111862	1.1.1	0	ENSCAFG00845002623	1.1.1	2415	one_to_one
ENSMUSG00000025810	lncgSS.dw	ENSCAFG00845002787	lncgSS.dw	ENSMUSG00000121092	1.1.1	1580	ENSCAFG00845002857	n.1.1	3601	one_to_one
ENSMUSG00000021838	lncgSS.dw	ENSCAFG00845004567	lncgSS.dw	ENSMUSG00000089870	1.1.1	0	ENSCAFG00845014675	1.1.1	1977	one_to_one
ENSMUSG00000031826	lncgSS.dw	ENSCAFG00845004628	lncgSS.dw	ENSMUSG00000121139	1.1.1	0	ENSCAFG00845004608	1.1.1	15	one_to_one
ENSMUSG00000042724	lncgSS.dw	ENSCAFG00845007871	lncgSS.dw	ENSMUSG00000113184	1.1.1	958	ENSCAFG00845007782	1.1.1	879	one_to_one
ENSMUSG00000040896	lncgSS.dw	ENSCAFG00845008017	lncgSS.dw	ENSMUSG00000105753	1.1.1	0	ENSCAFG00845008105	1.1.1	701	one_to_one
ENSMUSG00000022297	lncgSS.dw	ENSCAFG00845008513	lncgSS.dw	ENSMUSG00000115508	1.1.1	2244	ENSCAFG00845008547	1.1.1	275	one_to_one
ENSMUSG00000054074	lncgSS.dw	ENSCAFG00845008698	lncgSS.dw	ENSMUSG00000054057	n.1.1	11805	ENSCAFG00845008721	1.1.1	176	one_to_one
ENSMUSG00000015829	lncgSS.dw	ENSCAFG00845009439	lncgSS.dw	ENSMUSG00000073528	n.1.1	0	ENSCAFG00845009888	1.1.1	2768	one_to_one
ENSMUSG00000009828	lncgSS.dw	ENSCAFG00845009901	lncgSS.dw	ENSMUSG00000121490	n.1.1	3776	ENSCAFG00845009849	1.1.1	766	one_to_one
ENSMUSG00000022012	lncgSS.dw	ENSCAFG00845010105	lncgSS.dw	ENSMUSG00000120850	1.1.1	0	ENSCAFG00845010162	1.1.1	3847	one_to_one
ENSMUSG00000053465	lncgSS.dw	ENSCAFG00845010209	lncgSS.dw	ENSMUSG00000100274;ENSMUSG00000115639	1.1.1;1.1.1	0;0	ENSCAFG00845010226	1.1.1	2483	many_to_one
ENSMUSG00000034616	lncgSS.dw	ENSCAFG00845010891	lncgSS.dw	ENSMUSG00000117718	n.1.1	3991	ENSCAFG00845010817	1.1.1	3453	one_to_one
ENSMUSG00000026657	lncgSS.dw	ENSCAFG00845015450	lncgSS.dw	ENSMUSG00000102357;ENSMUSG00000086921;ENSMUSG00000102517;ENSMUSG00000102136;ENSMUSG00000102816;ENSMUSG00000102494;ENSMUSG00000104284	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	0;0;0;0;0;0;0	ENSCAFG00845016228;ENSCAFG00845016216	1.1.1;1.1.1	4660;1066	many_to_many
ENSMUSG00000049606	lncgSS.dw	ENSCAFG00845016789	lncgSS.dw	ENSMUSG00000098302	1.1.1	0	ENSCAFG00845016883	1.1.1	1582	one_to_one
ENSMUSG00000036339	lncgSS.dw	ENSCAFG00845016875	lncgSS.dw	ENSMUSG00000115756	n.n.1	0	ENSCAFG00845016966	n.1.1	11602	one_to_one
ENSMUSG00000007411	lncgSS.dw	ENSCAFG00845018426	lncgSS.dw	ENSMUSG00000113910	1.1.1	0	ENSCAFG00845018900	1.1.1	935	one_to_one
ENSMUSG00000075054	lncgSS.dw	ENSCAFG00845019598	lncgSS.dw	ENSMUSG00000113030	1.1.1	0	ENSCAFG00845019577	1.1.1	62	one_to_one
ENSMUSG00000032249	lncgSS.dw	ENSCAFG00845019800	lncgSS.dw	ENSMUSG00000121050	1.1.1	0	ENSCAFG00845019771	1.1.1	2035	one_to_one
ENSMUSG00000047888	lncgSS.dw	ENSCAFG00845020617	lncgSS.dw	ENSMUSG00000116480	1.1.1	0	ENSCAFG00845020547	1.1.1	4703	one_to_one
ENSMUSG00000033014	lncgSS.dw	ENSCAFG00845024048	lncgSS.dw	ENSMUSG00000104925	1.1.1	0	ENSCAFG00845023999	1.1.1	2234	one_to_one
ENSMUSG00000042992	lncgSS.dw	ENSCAFG00845024109	lncgSS.dw	ENSMUSG00000108166	1.1.1	0	ENSCAFG00845024049	1.1.1	1438	one_to_one
ENSMUSG00000055447	lncgSS.dw	ENSCAFG00845024257	lncgSS.dw	ENSMUSG00000120744	1.1.1	0	ENSCAFG00845024063	1.1.1	3301	one_to_one
ENSMUSG00000057230	lncgSS.dw	ENSCAFG00845025681	lncgSS.dw	ENSMUSG00000107688	1.1.1	0	ENSCAFG00845025557	1.1.1	560	one_to_one
ENSMUSG00000055013	lncgSS.dw	ENSCAFG00845026357	lncgSS.dw	ENSMUSG00000101662	1.1.1	0	ENSCAFG00845027402	1.1.1	2000	one_to_one
ENSMUSG00000000049	lncgSS.dw	ENSCAFG00845028150	lncgSS.dw	ENSMUSG00000084916	n.1.1	0	ENSCAFG00845028199	1.1.1	1385	one_to_one
ENSMUSG00000052595	lncgSS.dw	ENSCAFG00845028778	lncgSS.dw	ENSMUSG00000118366	1.1.1	1089	ENSCAFG00845028836	1.1.1	1245	one_to_one
ENSMUSG00000057716	lncgSS.dw	ENSCAFG00845031029	lncgSS.dw	ENSMUSG00000097563	1.1.1	0	ENSCAFG00845031024	1.1.1	3	one_to_one
ENSMUSG00000024347	lncgSS.up	ENSCAFG00845001040	lncgSS.up	ENSMUSG00000120345	1.1.1	4563	ENSCAFG00845001011	1.1.1	2813	one_to_one
ENSMUSG00000040724	lncgSS.up	ENSCAFG00845001930	lncgSS.up	ENSMUSG00000050179	n.1.1	2661	ENSCAFG00845001903	1.1.1	713	one_to_one
ENSMUSG00000045763	lncgSS.up	ENSCAFG00845003311	lncgSS.up	ENSMUSG00000115850	1.1.1	873	ENSCAFG00845003313	1.1.1	1188	one_to_one
ENSMUSG00000031654	lncgSS.up	ENSCAFG00845004446	lncgSS.up	ENSMUSG00000097992	1.1.1	3446	ENSCAFG00845004438	1.1.1	636	one_to_one
ENSMUSG00000004698	lncgSS.up	ENSCAFG00845006703	lncgSS.up	ENSMUSG00000113386	1.1.1	0	ENSCAFG00845006556	1.1.1	1241	one_to_one
ENSMUSG00000061175	lncgSS.up	ENSCAFG00845011970	lncgSS.up	ENSMUSG00000089746	1.1.1	0	ENSCAFG00845011921	1.1.1	3054	one_to_one
ENSMUSG00000000782	lncgSS.up	ENSCAFG00845012366	lncgSS.up	ENSMUSG00000120287	1.1.1	509	ENSCAFG00845012273	1.1.1	2320	one_to_one
ENSMUSG00000028645	lncgSS.up	ENSCAFG00845015278	lncgSS.up	ENSMUSG00000120599	1.1.1	1382	ENSCAFG00845015225	1.1.1	259	one_to_one
ENSMUSG00000019960	lncgSS.up	ENSCAFG00845018644	lncgSS.up	ENSMUSG00000120240	1.1.1	274	ENSCAFG00845018680	1.1.1	926	one_to_one
ENSMUSG00000041298	lncgSS.up	ENSCAFG00845022093	lncgSS.up	ENSMUSG00000085639;ENSMUSG00000106951;ENSMUSG00000108207;ENSMUSG00000085971;ENSMUSG00000106892;ENSMUSG00000085237	1.1.1;n.1.1;n.1.1;n.1.1;1.1.1;n.1.1	0;0;0;18645;0;0	ENSCAFG00845022067	1.1.1	136	many_to_one
ENSMUSG00000021192	lncgSS.up	ENSCAFG00845022111	lncgSS.up	ENSMUSG00000113265	1.1.1	1526	ENSCAFG00845022083	1.1.1	170	one_to_one
ENSMUSG00000008730	lncgSS.up	ENSCAFG00845023430	lncgSS.up	ENSMUSG00000104874;ENSMUSG00000105229	1.1.1;1.1.1	0;0	ENSCAFG00845023309	1.1.1	4208	many_to_one
ENSMUSG00000038384	lncgSS.up	ENSCAFG00845023777	lncgSS.up	ENSMUSG00000105881	1.1.1	147	ENSCAFG00845023963	1.1.1	3167	one_to_one
ENSMUSG00000049119	lncgSS.up	ENSCAFG00845027603	lncgSS.up	ENSMUSG00000086066	n.1.1	1806	ENSCAFG00845027503	n.1.1	21	one_to_one
ENSMUSG00000033228	lncgSS.up	ENSCAFG00845027751	lncgSS.up	ENSMUSG00000120309	n.1.1	11700	ENSCAFG00845027696	1.1.1	1666	one_to_one
ENSMUSG00000038331	lncgSS.up	ENSCAFG00845027789	lncgSS.up	ENSMUSG00000120334	1.1.1	1828	ENSCAFG00845027930;ENSCAFG00845027922	n.1.1;1.1.1	1902;778	one_to_many
ENSMUSG00000029004	lncgSS.up	ENSCAFG00845028434	lncgSS.up	ENSMUSG00000120367	1.1.1	149	ENSCAFG00845028639	1.1.1	4427	one_to_one
ENSMUSG00000000184	lncgSS.up	ENSCAFG00845030681	lncgSS.up	ENSMUSG00000120876	1.1.1	1584	ENSCAFG00845030686	1.1.1	2778	one_to_one
