PCG.Mus_musculus	lncRNA.Mus_musculus	conf.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	PCG.Canis_lupus_familiaris	lncRNA.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris
ENSMUSG00000033960	ENSMUSG00000117521	lincSS.up	1.1.1	18814	ENSCAFG00845011470	ENSCAFG00845011489	lincSS.up	1.1.1	12468
ENSMUSG00000034021	ENSMUSG00000107047	lincConv	1.1.1	53273	ENSCAFG00845014958	ENSCAFG00845014882	lincConv	1.1.1	7248
ENSMUSG00000034271	ENSMUSG00000113165	lncgDivg	1.1.1	0	ENSCAFG00845015414	ENSCAFG00845015385	lncgDivg	1.1.1	3786
ENSMUSG00000034312	ENSMUSG00000107999	lncgDivg	1.1.1	0	ENSCAFG00845021688	ENSCAFG00845022376	lncgDivg	1.1.1	3196
ENSMUSG00000034384	ENSMUSG00000097018	lincSS.up	1.1.1	7634	ENSCAFG00845017033	ENSCAFG00845016970	lincSS.up	n.n.n	38217
ENSMUSG00000034453	ENSMUSG00000097309	lncgDivg	1.1.1	0	ENSCAFG00845013006	ENSCAFG00845013073	lncgDivg	1.1.1	15
ENSMUSG00000034522	ENSMUSG00000114357	lncgDivg	1.1.1	0	ENSCAFG00845008517	ENSCAFG00845008404	lncgDivg	1.1.1	2433
ENSMUSG00000034616	ENSMUSG00000117718	lncgSS.dw	n.1.1	3991	ENSCAFG00845010891	ENSCAFG00845010817	lncgSS.dw	1.1.1	3453
ENSMUSG00000034792	ENSMUSG00000112350	lncgDivg	1.1.1	1186	ENSCAFG00845010390	ENSCAFG00845010438	lncgDivg	1.1.1	699
ENSMUSG00000034813	ENSMUSG00000085418	lncgDivg	n.1.1	0	ENSCAFG00845013018	ENSCAFG00845013464	lncgDivg	1.1.1	1418
ENSMUSG00000034813	ENSMUSG00000112555	lncgDivg	1.1.1	0	ENSCAFG00845013018	ENSCAFG00845013464	lncgDivg	1.1.1	1418
ENSMUSG00000034813	ENSMUSG00000084764	lncgDivg	1.1.1	0	ENSCAFG00845013018	ENSCAFG00845013464	lncgDivg	1.1.1	1418
ENSMUSG00000034813	ENSMUSG00000085454	lncgDivg	n.1.1	0	ENSCAFG00845013018	ENSCAFG00845013464	lncgDivg	1.1.1	1418
ENSMUSG00000035000	ENSMUSG00000087681	lincSS.up	1.1.1	24649	ENSCAFG00845030056	ENSCAFG00845030193	lincSS.up	1.1.1	6478
ENSMUSG00000035133	ENSMUSG00000120607	lincSS.up	1.1.1	56101	ENSCAFG00845012045	ENSCAFG00845012010	lincSS.up	1.1.1	10365
ENSMUSG00000035274	ENSMUSG00000056031	lncgDivg	n.n.1	0	ENSCAFG00845010452	ENSCAFG00845010409	lncgDivg	1.1.1	589
ENSMUSG00000035314	ENSMUSG00000121235	lncgDivg	1.1.1	0	ENSCAFG00845011562	ENSCAFG00845011442	lncgDivg	1.1.1	3099
ENSMUSG00000035456	ENSMUSG00000045238	lncgDivg	n.1.1	0	ENSCAFG00845017674	ENSCAFG00845017649	lncgDivg	1.1.1	3925
ENSMUSG00000035694	ENSMUSG00000112564	lncgConv	1.1.1	0	ENSCAFG00845025159	ENSCAFG00845025039	lncgConv	1.1.1	479
ENSMUSG00000035759	ENSMUSG00000112246	lincSS.dw	1.1.1	35397	ENSCAFG00845006103	ENSCAFG00845006077	lincSS.dw	n.1.1	10190
ENSMUSG00000035762	ENSMUSG00000097292	lncgDivg	n.1.1	121	ENSCAFG00845018131	ENSCAFG00845018054	lncgDivg	1.1.1	1552
ENSMUSG00000035776	ENSMUSG00000085284	lncgDivg	1.1.1	0	ENSCAFG00845024375	ENSCAFG00845024529	lncgDivg	n.1.1	196
ENSMUSG00000036158	ENSMUSG00000121167	lincDivg	1.1.1	15918	ENSCAFG00845030270	ENSCAFG00845030254	lincDivg	1.1.1	72938
ENSMUSG00000036218	ENSMUSG00000115858	lncgDivg	1.1.1	0	ENSCAFG00845030505	ENSCAFG00845030524	lncgDivg	1.1.1	2248
ENSMUSG00000036225	ENSMUSG00000117613	lincDivg	n.1.1	43277	ENSCAFG00845012599	ENSCAFG00845012572	lincDivg	1.1.1	41118
ENSMUSG00000036225	ENSMUSG00000117613	lincDivg	n.1.1	43277	ENSCAFG00845012599	ENSCAFG00845012476	lincDivg	1.1.1	57075
ENSMUSG00000036225	ENSMUSG00000117404	lincSS.up	1.1.1	49666	ENSCAFG00845012599	ENSCAFG00845012467	lincSS.up	1.1.1	69205
ENSMUSG00000036225	ENSMUSG00000117404	lincSS.up	1.1.1	49666	ENSCAFG00845012599	ENSCAFG00845012457	lincSS.up	1.1.1	83821
ENSMUSG00000036225	ENSMUSG00000117404	lincSS.up	1.1.1	49666	ENSCAFG00845012599	ENSCAFG00845012482	lincSS.up	1.1.1	41118
ENSMUSG00000036225	ENSMUSG00000117404	lincSS.up	1.1.1	49666	ENSCAFG00845012599	ENSCAFG00845012579	lincSS.up	1.1.1	23143
ENSMUSG00000036339	ENSMUSG00000115756	lncgSS.dw	n.n.1	0	ENSCAFG00845016875	ENSCAFG00845016966	lncgSS.dw	n.1.1	11602
ENSMUSG00000036450	ENSMUSG00000117911	lincSS.dw	n.1.1	38466	ENSCAFG00845018163	ENSCAFG00845018305	lincSS.dw	1.1.1	50198
ENSMUSG00000036450	ENSMUSG00000117911	lincSS.dw	n.1.1	38466	ENSCAFG00845018163	ENSCAFG00845018236	lincSS.dw	1.1.1	7964
ENSMUSG00000036450	ENSMUSG00000117911	lincSS.dw	n.1.1	38466	ENSCAFG00845018163	ENSCAFG00845018293	lincSS.dw	1.1.1	42110
ENSMUSG00000036450	ENSMUSG00000117911	lincSS.dw	n.1.1	38466	ENSCAFG00845018163	ENSCAFG00845018273	lincSS.dw	1.1.1	28801
ENSMUSG00000036450	ENSMUSG00000117911	lincSS.dw	n.1.1	38466	ENSCAFG00845018163	ENSCAFG00845018257	lincSS.dw	1.1.1	17665
ENSMUSG00000036499	ENSMUSG00000112400	lincSS.up	n.1.1	43276	ENSCAFG00845020208	ENSCAFG00845020760	lincSS.up	1.1.1	16774
ENSMUSG00000036499	ENSMUSG00000112599	lincSS.up	1.1.1	91532	ENSCAFG00845020208	ENSCAFG00845020760	lincSS.up	1.1.1	16774
ENSMUSG00000036574	ENSMUSG00000120706	lincConv	1.1.1	13980	ENSCAFG00845023927	ENSCAFG00845023947	lincConv	1.1.1	14489
ENSMUSG00000036585	ENSMUSG00000117994	lncgDivg	n.n.n	0	ENSCAFG00845017942	ENSCAFG00845018059	lncgDivg	1.1.1	109
ENSMUSG00000036644	ENSMUSG00000085192	lncgDivg	1.1.1	0	ENSCAFG00845007248	ENSCAFG00845007159	lncgDivg	1.1.1	2765
ENSMUSG00000036867	ENSMUSG00000111058	lincSS.dw	n.1.1	11274	ENSCAFG00845016415	ENSCAFG00845016520	lincSS.dw	1.1.1	68904
ENSMUSG00000037104	ENSMUSG00000117384	lincConv	1.1.1	54377	ENSCAFG00845028095	ENSCAFG00845028119	lincConv	1.1.1	5545
ENSMUSG00000037410	ENSMUSG00000111666	lincDivg	1.1.1	32996	ENSCAFG00845006735	ENSCAFG00845006787	lincDivg	1.1.1	7264
ENSMUSG00000037492	ENSMUSG00000109419	lincSS.dw	1.1.1	63925	ENSCAFG00845008865	ENSCAFG00845009050	lincSS.dw	1.1.1	11816
ENSMUSG00000037492	ENSMUSG00000109419	lincSS.dw	1.1.1	63925	ENSCAFG00845008865	ENSCAFG00845009060	lincSS.dw	1.1.1	20567
ENSMUSG00000037492	ENSMUSG00000053979	lincSS.dw	1.1.1	17319	ENSCAFG00845008865	ENSCAFG00845009050	lincSS.dw	1.1.1	11816
ENSMUSG00000037492	ENSMUSG00000053979	lincSS.dw	1.1.1	17319	ENSCAFG00845008865	ENSCAFG00845009060	lincSS.dw	1.1.1	20567
ENSMUSG00000037542	ENSMUSG00000037535	lincSS.dw	n.1.1	22773	ENSCAFG00845005024	ENSCAFG00845005022	lincSS.dw	n.1.1	10446
ENSMUSG00000037628	ENSMUSG00000115015	lincDivg	1.1.1	86766	ENSCAFG00845004444	ENSCAFG00845004412	lincDivg	1.1.1	71871
ENSMUSG00000037628	ENSMUSG00000115690	lincDivg	1.1.1	14142	ENSCAFG00845004444	ENSCAFG00845004412	lincDivg	1.1.1	71871
ENSMUSG00000037716	ENSMUSG00000086624	lncgDivg	1.1.1	0	ENSCAFG00845029058	ENSCAFG00845029020	lncgDivg	1.1.1	1244
ENSMUSG00000037716	ENSMUSG00000085753	lncgDivg	1.1.1	0	ENSCAFG00845029058	ENSCAFG00845029020	lncgDivg	1.1.1	1244
ENSMUSG00000037826	ENSMUSG00000093535	lincConv	1.1.1	8831	ENSCAFG00845016529	ENSCAFG00845016439	lincConv	1.1.1	16563
ENSMUSG00000037855	ENSMUSG00000116971	lincConv	1.1.1	49702	ENSCAFG00845003326	ENSCAFG00845003356	lincConv	1.1.1	26707
ENSMUSG00000037855	ENSMUSG00000116971	lincConv	1.1.1	49702	ENSCAFG00845003326	ENSCAFG00845003341	lincConv	1.1.1	18508
ENSMUSG00000037855	ENSMUSG00000116971	lincConv	1.1.1	49702	ENSCAFG00845003326	ENSCAFG00845003358	lincConv	1.1.1	43742
ENSMUSG00000038025	ENSMUSG00000086889	lncgDivg	1.1.1	0	ENSCAFG00845021923	ENSCAFG00845022149	lncgDivg	1.1.1	3282
ENSMUSG00000038069	ENSMUSG00000110665	lincSS.up	n.1.1	30780	ENSCAFG00845016463	ENSCAFG00845016501	lincSS.up	1.1.1	6271
ENSMUSG00000038069	ENSMUSG00000110604	lincSS.up	1.1.1	50122	ENSCAFG00845016463	ENSCAFG00845016501	lincSS.up	1.1.1	6271
ENSMUSG00000038077	ENSMUSG00000097596	lncgDivg	1.1.1	0	ENSCAFG00845030426	ENSCAFG00845030436	lncgDivg	n.1.1	508
ENSMUSG00000038151	ENSMUSG00000111535	lincDivg	n.1.1	70219	ENSCAFG00845007842	ENSCAFG00845007796	lincDivg	n.1.1	85930
ENSMUSG00000038151	ENSMUSG00000111116	lincSS.up	1.1.1	69388	ENSCAFG00845007842	ENSCAFG00845007810	lincSS.up	1.1.1	85210
ENSMUSG00000038151	ENSMUSG00000111463	lincSS.up	1.1.1	52016	ENSCAFG00845007842	ENSCAFG00845007810	lincSS.up	1.1.1	85210
ENSMUSG00000038168	ENSMUSG00000090257	lncgConv	1.1.1	0	ENSCAFG00845023995	ENSCAFG00845023933	lncgConv	1.1.1	750
ENSMUSG00000038168	ENSMUSG00000090257	lncgConv	1.1.1	0	ENSCAFG00845023995	ENSCAFG00845023910	lncgConv	1.1.1	2712
ENSMUSG00000038173	ENSMUSG00000109759	lincDivg	1.1.1	38088	ENSCAFG00845015469	ENSCAFG00845015446	lincDivg	1.1.1	23751
ENSMUSG00000038193	ENSMUSG00000100510	lncgDivg	n.n.1	0	ENSCAFG00845017182	ENSCAFG00845017236	lncgDivg	n.1.1	1188
ENSMUSG00000038215	ENSMUSG00000110310	lincSS.dw	1.1.1	46554	ENSCAFG00845017832	ENSCAFG00845017925	lincSS.dw	n.1.1	12060
ENSMUSG00000038217	ENSMUSG00000120190	lncgDivg	1.1.1	569	ENSCAFG00845014687	ENSCAFG00845014702	lncgDivg	1.1.1	1469
ENSMUSG00000038331	ENSMUSG00000120334	lncgSS.up	1.1.1	1828	ENSCAFG00845027789	ENSCAFG00845027930	lncgSS.up	n.1.1	1902
ENSMUSG00000038331	ENSMUSG00000120334	lncgSS.up	1.1.1	1828	ENSCAFG00845027789	ENSCAFG00845027922	lncgSS.up	1.1.1	778
ENSMUSG00000038384	ENSMUSG00000105881	lncgSS.up	1.1.1	147	ENSCAFG00845023777	ENSCAFG00845023963	lncgSS.up	1.1.1	3167
ENSMUSG00000038400	ENSMUSG00000121269	lincDivg	1.1.1	14722	ENSCAFG00845013029	ENSCAFG00845013079	lincDivg	1.1.1	40638
ENSMUSG00000038456	ENSMUSG00000085058	lncgDivg	n.1.1	0	ENSCAFG00845031062	ENSCAFG00845031055	lncgDivg	1.1.1	2201
ENSMUSG00000038481	ENSMUSG00000038491	lncgDivg	n.1.1	0	ENSCAFG00845013205	ENSCAFG00845016096	lncgDivg	n.1.1	889
ENSMUSG00000038594	ENSMUSG00000112132	lincDivg	1.1.1	29935	ENSCAFG00845006869	ENSCAFG00845007067	lincDivg	1.1.1	31387
ENSMUSG00000038663	ENSMUSG00000097277	lncgConv	n.1.1	1802	ENSCAFG00845003925	ENSCAFG00845003886	lncgConv	1.1.1	1575
ENSMUSG00000038733	ENSMUSG00000054135	lincDivg	n.1.1	13985	ENSCAFG00845012382	ENSCAFG00845012343	lincDivg	n.1.1	14686
ENSMUSG00000038733	ENSMUSG00000120933	lincSS.up	n.1.1	42236	ENSCAFG00845012382	ENSCAFG00845012320	lincSS.up	1.1.1	47501
ENSMUSG00000038733	ENSMUSG00000120933	lincSS.up	n.1.1	42236	ENSCAFG00845012382	ENSCAFG00845012331	lincSS.up	1.1.1	13527
ENSMUSG00000038733	ENSMUSG00000121026	lincSS.up	1.1.1	21418	ENSCAFG00845012382	ENSCAFG00845012320	lincSS.up	1.1.1	47501
ENSMUSG00000038733	ENSMUSG00000121026	lincSS.up	1.1.1	21418	ENSCAFG00845012382	ENSCAFG00845012331	lincSS.up	1.1.1	13527
ENSMUSG00000038740	ENSMUSG00000085463	lincSS.dw	1.1.1	11054	ENSCAFG00845008402	ENSCAFG00845008346	lincSS.dw	1.1.1	10946
ENSMUSG00000038872	ENSMUSG00000110625	lincSS.up	1.1.1	57633	ENSCAFG00845008627	ENSCAFG00845008701	lincSS.up	1.1.1	10228
ENSMUSG00000038872	ENSMUSG00000110625	lincSS.up	1.1.1	57633	ENSCAFG00845008627	ENSCAFG00845008709	lincSS.up	1.1.1	50375
ENSMUSG00000038954	ENSMUSG00000117044	lincSS.dw	1.1.1	27947	ENSCAFG00845012174	ENSCAFG00845012139	lincSS.dw	1.1.1	20726
ENSMUSG00000039176	ENSMUSG00000097023	lincDivg	n.1.1	32746	ENSCAFG00845004161	ENSCAFG00845004193	lincDivg	n.1.1	30309
ENSMUSG00000039239	ENSMUSG00000103690	lincSS.dw	n.1.1	64111	ENSCAFG00845028176	ENSCAFG00845028269	lincSS.dw	n.1.1	50291
ENSMUSG00000039239	ENSMUSG00000103690	lincSS.dw	n.1.1	64111	ENSCAFG00845028176	ENSCAFG00845028245	lincSS.dw	n.1.1	20053
ENSMUSG00000039405	ENSMUSG00000108875	lincDivg	1.1.1	25179	ENSCAFG00845006550	ENSCAFG00845006577	lincDivg	1.1.1	42939
ENSMUSG00000039683	ENSMUSG00000120072	lincSS.up	n.1.1	81398	ENSCAFG00845014480	ENSCAFG00845014957	lincSS.up	1.1.1	35113
ENSMUSG00000039851	ENSMUSG00000116763	lincSS.up	1.1.1	43333	ENSCAFG00845026309	ENSCAFG00845026338	lincSS.up	1.1.1	10107
ENSMUSG00000039910	ENSMUSG00000112629	lincDivg	1.1.1	64705	ENSCAFG00845010679	ENSCAFG00845010736	lincDivg	n.1.1	40103
ENSMUSG00000039960	ENSMUSG00000110467	lincConv	1.1.1	63888	ENSCAFG00845001719	ENSCAFG00845001708	lincConv	1.1.1	23308
ENSMUSG00000039983	ENSMUSG00000084802	lincConv	1.1.1	17095	ENSCAFG00845028623	ENSCAFG00845028611	lincConv	1.1.1	12968
ENSMUSG00000040274	ENSMUSG00000106588	lncgDivg	n.n.1	0	ENSCAFG00845013226	ENSCAFG00845013253	lncgDivg	1.1.1	1218
ENSMUSG00000040274	ENSMUSG00000105534	lncgDivg	1.1.1	0	ENSCAFG00845013226	ENSCAFG00845013253	lncgDivg	1.1.1	1218
ENSMUSG00000040490	ENSMUSG00000101012	lincConv	n.1.1	14675	ENSCAFG00845014692	ENSCAFG00845014656	lincConv	1.1.1	39063
ENSMUSG00000040548	ENSMUSG00000120012	lncgConv	n.n.1	0	ENSCAFG00845022666	ENSCAFG00845022560	lncgConv	n.1.1	781
ENSMUSG00000040600	ENSMUSG00000106426	lincDivg	1.1.1	43690	ENSCAFG00845002452	ENSCAFG00845002404	lincDivg	n.n.n	17207
ENSMUSG00000040721	ENSMUSG00000093452	lincConv	n.n.1	0	ENSCAFG00845004064	ENSCAFG00845004034	lincConv	1.1.1	5511
ENSMUSG00000040724	ENSMUSG00000050179	lncgSS.up	n.1.1	2661	ENSCAFG00845001930	ENSCAFG00845001903	lncgSS.up	1.1.1	713
ENSMUSG00000040850	ENSMUSG00000087474	lincSS.up	1.1.1	15579	ENSCAFG00845008342	ENSCAFG00845009021	lincSS.up	1.1.1	16847
ENSMUSG00000040850	ENSMUSG00000087474	lincSS.up	1.1.1	15579	ENSCAFG00845008342	ENSCAFG00845009026	lincSS.up	1.1.1	30855
ENSMUSG00000040850	ENSMUSG00000087474	lincSS.up	1.1.1	15579	ENSCAFG00845008342	ENSCAFG00845009013	lincSS.up	1.1.1	7010
ENSMUSG00000040850	ENSMUSG00000087474	lincSS.up	1.1.1	15579	ENSCAFG00845008342	ENSCAFG00845009031	lincSS.up	1.1.1	34980
ENSMUSG00000040896	ENSMUSG00000105753	lncgSS.dw	1.1.1	0	ENSCAFG00845008017	ENSCAFG00845008105	lncgSS.dw	1.1.1	701
ENSMUSG00000041014	ENSMUSG00000093556	lncgDivg	1.1.1	0	ENSCAFG00845015872	ENSCAFG00845015727	lncgDivg	1.1.1	1046
ENSMUSG00000041014	ENSMUSG00000093383	lncgDivg	1.1.1	0	ENSCAFG00845015872	ENSCAFG00845015727	lncgDivg	1.1.1	1046
ENSMUSG00000041014	ENSMUSG00000093528	lncgDivg	1.1.1	0	ENSCAFG00845015872	ENSCAFG00845015727	lncgDivg	1.1.1	1046
ENSMUSG00000041298	ENSMUSG00000087647	lincConv	1.1.1	33786	ENSCAFG00845022093	ENSCAFG00845022177	lincConv	1.1.1	7152
ENSMUSG00000041298	ENSMUSG00000085740	lincConv	1.1.1	88504	ENSCAFG00845022093	ENSCAFG00845022177	lincConv	1.1.1	7152
ENSMUSG00000041298	ENSMUSG00000085639	lncgSS.up	1.1.1	0	ENSCAFG00845022093	ENSCAFG00845022067	lncgSS.up	1.1.1	136
ENSMUSG00000041298	ENSMUSG00000106951	lncgSS.up	n.1.1	0	ENSCAFG00845022093	ENSCAFG00845022067	lncgSS.up	1.1.1	136
ENSMUSG00000041298	ENSMUSG00000108207	lncgSS.up	n.1.1	0	ENSCAFG00845022093	ENSCAFG00845022067	lncgSS.up	1.1.1	136
ENSMUSG00000041298	ENSMUSG00000085971	lncgSS.up	n.1.1	18645	ENSCAFG00845022093	ENSCAFG00845022067	lncgSS.up	1.1.1	136
ENSMUSG00000041298	ENSMUSG00000106892	lncgSS.up	1.1.1	0	ENSCAFG00845022093	ENSCAFG00845022067	lncgSS.up	1.1.1	136
ENSMUSG00000041298	ENSMUSG00000085237	lncgSS.up	n.1.1	0	ENSCAFG00845022093	ENSCAFG00845022067	lncgSS.up	1.1.1	136
ENSMUSG00000041324	ENSMUSG00000114057	lincSS.up	1.1.1	77170	ENSCAFG00845018632	ENSCAFG00845018566	lincSS.up	1.1.1	22914
ENSMUSG00000041408	ENSMUSG00000115007	lncgDivg	1.1.1	143	ENSCAFG00845006393	ENSCAFG00845006535	lncgDivg	1.1.1	2546
ENSMUSG00000041482	ENSMUSG00000097980	lincDivg	n.1.1	12031	ENSCAFG00845004756	ENSCAFG00845004802	lincDivg	1.1.1	87526
ENSMUSG00000041660	ENSMUSG00000085444	lincConv	1.1.1	6566	ENSCAFG00845025022	ENSCAFG00845025115	lincConv	1.1.1	54503
ENSMUSG00000042548	ENSMUSG00000073236	lncgDivg	n.n.1	0	ENSCAFG00845021168	ENSCAFG00845021034	lncgDivg	1.1.1	4370
ENSMUSG00000042724	ENSMUSG00000113184	lncgSS.dw	1.1.1	958	ENSCAFG00845007871	ENSCAFG00845007782	lncgSS.dw	1.1.1	879
ENSMUSG00000042992	ENSMUSG00000108166	lncgSS.dw	1.1.1	0	ENSCAFG00845024109	ENSCAFG00845024049	lncgSS.dw	1.1.1	1438
ENSMUSG00000043301	ENSMUSG00000120726	lincConv	1.1.1	23589	ENSCAFG00845028925	ENSCAFG00845028902	lincConv	n.1.1	35952
ENSMUSG00000043496	ENSMUSG00000108255	lncgDivg	n.n.1	0	ENSCAFG00845017572	ENSCAFG00845017601	lncgDivg	n.n.n	2911
ENSMUSG00000043496	ENSMUSG00000108175	lncgDivg	1.1.1	0	ENSCAFG00845017572	ENSCAFG00845017601	lncgDivg	n.n.n	2911
ENSMUSG00000043556	ENSMUSG00000115433	lncgDivg	1.1.1	0	ENSCAFG00845003787	ENSCAFG00845003795	lncgDivg	1.1.1	402
ENSMUSG00000043592	ENSMUSG00000117019	lincSS.dw	1.1.1	17019	ENSCAFG00845014744	ENSCAFG00845014729	lincSS.dw	1.1.1	13884
ENSMUSG00000043670	ENSMUSG00000087114	lncgDivg	n.1.1	0	ENSCAFG00845011531	ENSCAFG00845011510	lncgDivg	1.1.1	2275
ENSMUSG00000043857	ENSMUSG00000086902	lincConv	n.1.1	48086	ENSCAFG00845015937	ENSCAFG00845015860	lincConv	n.1.1	29943
ENSMUSG00000044337	ENSMUSG00000101028	lincSS.dw	1.1.1	63707	ENSCAFG00845027671	ENSCAFG00845027767	lincSS.dw	n.1.1	51178
ENSMUSG00000044337	ENSMUSG00000101028	lincSS.dw	1.1.1	63707	ENSCAFG00845027671	ENSCAFG00845027697	lincSS.dw	1.1.1	11883
ENSMUSG00000044468	ENSMUSG00000053957	lncgDivg	n.1.1	165	ENSCAFG00845005783	ENSCAFG00845029579	lncgDivg	n.1.1	258
ENSMUSG00000044646	ENSMUSG00000097302	lincSS.up	1.1.1	37875	ENSCAFG00845017703	ENSCAFG00845017643	lincSS.up	1.1.1	45209
ENSMUSG00000044646	ENSMUSG00000097302	lincSS.up	1.1.1	37875	ENSCAFG00845017703	ENSCAFG00845017654	lincSS.up	n.1.1	10566
ENSMUSG00000044876	ENSMUSG00000109165	lncgSS.dw	1.1.1	0	ENSCAFG00845000307	ENSCAFG00845000300	lncgSS.dw	1.1.1	600
ENSMUSG00000044927	ENSMUSG00000084950	lncgDivg	n.n.n	0	ENSCAFG00845019714	ENSCAFG00845019682	lncgDivg	n.1.1	441
ENSMUSG00000045394	ENSMUSG00000117414	lincDivg	1.1.1	64325	ENSCAFG00845005300	ENSCAFG00845005280	lincDivg	1.1.1	28996
ENSMUSG00000045515	ENSMUSG00000097063	lncgConv	n.1.1	3870	ENSCAFG00845009979	ENSCAFG00845009940	lncgConv	1.1.1	266
ENSMUSG00000045534	ENSMUSG00000110390	lincSS.up	1.1.1	14457	ENSCAFG00845030339	ENSCAFG00845030349	lincSS.up	1.1.1	19446
ENSMUSG00000045534	ENSMUSG00000110390	lincSS.up	1.1.1	14457	ENSCAFG00845030339	ENSCAFG00845030360	lincSS.up	1.1.1	26415
ENSMUSG00000045763	ENSMUSG00000115729	lncgDivg	n.1.1	1258	ENSCAFG00845003311	ENSCAFG00845003316	lncgDivg	1.1.1	1192
ENSMUSG00000045763	ENSMUSG00000056089	lncgDivg	n.1.1	392	ENSCAFG00845003311	ENSCAFG00845003316	lncgDivg	1.1.1	1192
ENSMUSG00000045763	ENSMUSG00000115850	lncgSS.up	1.1.1	873	ENSCAFG00845003311	ENSCAFG00845003313	lncgSS.up	1.1.1	1188
ENSMUSG00000045867	ENSMUSG00000112481	lincSS.dw	n.1.1	28888	ENSCAFG00845021328	ENSCAFG00845021449	lincSS.dw	n.1.1	16408
ENSMUSG00000045867	ENSMUSG00000112501	lincSS.dw	1.1.1	37872	ENSCAFG00845021328	ENSCAFG00845021449	lincSS.dw	n.1.1	16408
ENSMUSG00000046688	ENSMUSG00000120996	lncgDivg	1.1.1	0	ENSCAFG00845016552	ENSCAFG00845016602	lncgDivg	1.1.1	273
ENSMUSG00000047171	ENSMUSG00000110035	lincDivg	n.1.1	68580	ENSCAFG00845022921	ENSCAFG00845022968	lincDivg	n.n.n	42173
ENSMUSG00000047171	ENSMUSG00000109612	lincSS.up	1.1.1	77435	ENSCAFG00845022921	ENSCAFG00845023011	lincSS.up	1.1.1	69451
ENSMUSG00000047412	ENSMUSG00000097701	lncgConv	1.1.1	4732	ENSCAFG00845006412	ENSCAFG00845006429	lncgConv	1.1.1	1338
ENSMUSG00000047434	ENSMUSG00000116737	lincConv	1.1.1	73495	ENSCAFG00845030777	ENSCAFG00845030802	lincConv	1.1.1	13820
ENSMUSG00000047434	ENSMUSG00000116737	lincConv	1.1.1	73495	ENSCAFG00845030777	ENSCAFG00845030807	lincConv	1.1.1	56290
ENSMUSG00000047434	ENSMUSG00000116951	lincSS.dw	n.1.1	84420	ENSCAFG00845030777	ENSCAFG00845030811	lincSS.dw	1.1.1	98310
ENSMUSG00000047434	ENSMUSG00000116951	lincSS.dw	n.1.1	84420	ENSCAFG00845030777	ENSCAFG00845030781	lincSS.dw	1.1.1	13818
ENSMUSG00000047434	ENSMUSG00000116951	lincSS.dw	n.1.1	84420	ENSCAFG00845030777	ENSCAFG00845030804	lincSS.dw	1.1.1	35093
ENSMUSG00000047434	ENSMUSG00000116581	lincSS.dw	n.1.1	19515	ENSCAFG00845030777	ENSCAFG00845030811	lincSS.dw	1.1.1	98310
ENSMUSG00000047434	ENSMUSG00000116581	lincSS.dw	n.1.1	19515	ENSCAFG00845030777	ENSCAFG00845030781	lincSS.dw	1.1.1	13818
ENSMUSG00000047434	ENSMUSG00000116581	lincSS.dw	n.1.1	19515	ENSCAFG00845030777	ENSCAFG00845030804	lincSS.dw	1.1.1	35093
ENSMUSG00000047804	ENSMUSG00000098196	lncgConv	1.1.1	3668	ENSCAFG00845016056	ENSCAFG00845016240	lncgConv	1.1.1	2134
ENSMUSG00000047888	ENSMUSG00000116480	lncgSS.dw	1.1.1	0	ENSCAFG00845020617	ENSCAFG00845020547	lncgSS.dw	1.1.1	4703
ENSMUSG00000047959	ENSMUSG00000056145	lncgSS.dw	1.1.1	1434	ENSCAFG00845001875	ENSCAFG00845001884	lncgSS.dw	1.1.1	258
ENSMUSG00000048285	ENSMUSG00000114005	lincSS.up	n.1.1	76665	ENSCAFG00845003527	ENSCAFG00845003481	lincSS.up	n.1.1	18893
ENSMUSG00000048304	ENSMUSG00000103428	lincDivg	n.1.1	8487	ENSCAFG00845018138	ENSCAFG00845018201	lincDivg	n.1.1	12325
ENSMUSG00000048482	ENSMUSG00000109604	lncgDivg	1.1.1	0	ENSCAFG00845017969	ENSCAFG00845018009	lncgDivg	1.1.1	133
ENSMUSG00000048482	ENSMUSG00000109604	lncgDivg	1.1.1	0	ENSCAFG00845017969	ENSCAFG00845018023	lncgDivg	1.1.1	1764
ENSMUSG00000048677	ENSMUSG00000108967	lincConv	1.1.1	19567	ENSCAFG00845005889	ENSCAFG00845005798	lincConv	1.1.1	19498
ENSMUSG00000048799	ENSMUSG00000118362	lncgConv	n.1.1	0	ENSCAFG00845008875	ENSCAFG00845008813	lncgConv	1.1.1	3340
ENSMUSG00000049100	ENSMUSG00000097040	lncgDivg	n.1.1	107	ENSCAFG00845023391	ENSCAFG00845023476	lncgDivg	n.1.1	1163
ENSMUSG00000049119	ENSMUSG00000087099	lincDivg	1.1.1	92867	ENSCAFG00845027603	ENSCAFG00845027574	lincDivg	1.1.1	49740
ENSMUSG00000049119	ENSMUSG00000087099	lincDivg	1.1.1	92867	ENSCAFG00845027603	ENSCAFG00845027556	lincDivg	1.1.1	98802
ENSMUSG00000049119	ENSMUSG00000087099	lincDivg	1.1.1	92867	ENSCAFG00845027603	ENSCAFG00845027596	lincDivg	1.1.1	10662
